Site,Winter_Longitude,Winter_Latitude,Stopover_Longitude,Stopover_Latitude,Iberian_Longitude,Iberian_Latitude,Westmost_Longitude,Westmost_Latitude
Vomb,-12.70813164,10.43643889,-7.19642313202409,40.148478982756,-5.80472833461024,41.5122250305473,-16.8326306178382,32.5573811597041
Vomb,-11.27929327,7.111185305,-8.32029870927648,31.5842382612719,-5.7298718067676,42.1377911815728,-16.0761039315197,29.2844141221931
Vomb,-10.62419555,11.01012744,-4.41478497108876,34.2054807640129,-6.70771240783758,35.7222441194126,-18.1971461775347,30.7726192065417
Vomb,-11.40107127,12.49045401,-2.26173100800516,33.3758949762562,-3.78472030703856,35.0317896218565,-16.5739832754932,33.4168562167395
Vomb,-12.90574938,8.010117642,-5.01535554752184,34.2383371395217,-7.78702969605366,36.1738521529207,-15.0089600278605,24.8167175597264
Vomb,-13.23043826,10.36005007,0.60969665817821606,42.78392262668,-8.13498526285268,41.7001672113317,-17.6583143833419,40.3692649095505
Vomb,-10.00059211,9.524719158,11.092115083675,45.0524079718335,0.959300832841419,47.859272088265,-15.2918359035573,26.8210216194598
Vomb,-11.72473266,9.761893416,-3.56021575367544,34.3268044289677,-6.7573928301255,40.9487808986899,-14.7460776796014,23.3128687151628
Vomb,-11.50671989,7.573827486,-6.32849159814763,37.8467616312484,-6.76286979515216,42.235575038153,-15.1130975002156,36.2437014926628
Vomb,-6.652654057,7.582997553,-4.88376010794182,35.2111263855355,-6.45974685945587,42.320455231195,-15.253434179134,33.1506868984855
Vomb,-11.2556507,9.82791231,-6.79410833115619,30.2458792061754,-7.43766495365789,30.802082502126,-15.2101987876334,18.029369950112
Vomb,-10.89030659,6.596143356,2.39174569140486,44.2026808085282,-1.38524399788881,48.4167318466721,-17.4390373385578,28.7668837536745
Vomb,-12.78151165,8.751514304,2.96445108727301,35.77830440013,-7.94984403969379,29.4838535567869,-15.16893750538,12.2424338228398
Vomb,-10.0478379,10.394357,-2.72400463768993,35.8314651302545,-1.63916051978386,43.8016898442,-15.689748689252,41.7784276790758
Vomb,-14.85180204,11.03147503,-0.146626166262099,40.5223497738845,-8.65423578214869,42.4071322271439,-17.4618715324003,16.9001843669901
Norway,-13.54433034,9.659171117,-7.90192148099239,32.1219772559453,-7.99320433268581,43.082780984519,-15.0671567375344,11.3922810225965
Tomsk,14.54214107,2.848717567,14.0587896460418,25.1516430116994,-6.51338430782315,30.8867250346787,-16.6963515962594,15.1280252231242
Tomsk,19.89818012,9.068152111,8.80962459006884,33.6643846150502,-6.95630952097368,53.2184815905396,-11.010541008603,27.3857300972129
Tomsk,19.46320043,9.688226572,23.0677819944557,37.9187003318577,-2.99845578035904,67.0840354935248,-14.2709629356909,20.8378570695171
Tomsk,15.33062531,5.414167831,10.616567444662,36.1937576940386,-3.88458498461655,28.5268126285113,-15.39871189667,16.1170342157589
Tomsk,12.8394168,6.381966027,14.3388701453327,31.7828689916662,-6.6688684874892,58.1573269833424,-12.2390194376745,28.9284162781067
Tomsk,18.21363128,7.170797486,34.4034311646195,50.1276313370986,-7.29081368963783,24.4607974484725,-17.3742998479424,14.072134801676
Ural,9.195511887,4.093563298,26.8662850971156,44.1337139073988,-5.80586725773477,37.8525302034372,-17.6354021348546,12.3647588791647
Moscow,-4.405705107,9.259115066,-1.57059492371539,34.521678633352,0.0382451257202868,44.8789065490464,-15.8876396417271,23.8065056098971
Moscow,-6.754876086,9.951783364,3.64745169591912,33.8541055265674,-7.24121920586916,33.9103491902666,-16.5871245764877,21.6199615840231
Moscow,-9.514717655,9.088931204,3.04211936033532,34.8767819101335,-7.30904297240798,41.1725130129046,-14.7687486378413,50.7353186843228
Moscow,12.7426662,5.95890454,10.0925419595989,33.1613573640413,-5.53992923571412,39.9020778373099,-14.662042065559,31.7065807169857
Spain,-16.12865127,11.91250077,NA,NA,-3.78853272900004,42.1097968765279,-17.2185729666536,21.1272181534442
Spain,-15.95976727,11.71120585,NA,NA,-7.16812767535668,41.9005391408693,-17.1874619922507,19.7769212029879
Spain,-15.81203001,14.03370146,NA,NA,-4.00042902671707,31.6747541439301,-16.5136491550592,21.6450307961218
Spain,-16.41318632,14.65046213,NA,NA,-5.47708253500309,36.7718511629682,-17.2120675132294,24.2109464564642
