Gene_ID,Cancer_Type,Gene_Mutation_Count,Gene_Severe_Mutation_Count,Gene_Individuals_with_Mutations_Count,Gene_Individuals_with_Severe_Mutations_Count
VPS13B,Bladder_Urothelial_Carcinoma,54,3,47,3
DNAH17,Bladder_Urothelial_Carcinoma,66,1,56,1
MKI67,Bladder_Urothelial_Carcinoma,62,9,44,9
DNAH8,Bladder_Urothelial_Carcinoma,66,9,47,9
DMXL2,Bladder_Urothelial_Carcinoma,50,4,41,4
TTN,Bladder_Urothelial_Carcinoma,504,38,227,30
ERBB2,Bladder_Urothelial_Carcinoma,71,1,58,1
LRP1B,Bladder_Urothelial_Carcinoma,67,2,60,2
DNAH7,Bladder_Urothelial_Carcinoma,53,2,48,2
KDM6A,Bladder_Urothelial_Carcinoma,120,90,109,84
MUC5B,Bladder_Urothelial_Carcinoma,47,3,42,3
ERBB3,Bladder_Urothelial_Carcinoma,71,2,53,2
FLG,Bladder_Urothelial_Carcinoma,94,4,77,4
RYR2,Bladder_Urothelial_Carcinoma,109,17,89,16
HERC2,Bladder_Urothelial_Carcinoma,52,7,49,7
TP53,Bladder_Urothelial_Carcinoma,242,70,200,68
AHNAK,Bladder_Urothelial_Carcinoma,87,4,54,4
RB1,Bladder_Urothelial_Carcinoma,89,79,77,72
ABCA13,Bladder_Urothelial_Carcinoma,61,17,50,17
KMT2D,Bladder_Urothelial_Carcinoma,174,104,121,84
MACF1,Bladder_Urothelial_Carcinoma,104,13,73,12
LAMA3,Bladder_Urothelial_Carcinoma,53,6,42,6
KMT2C,Bladder_Urothelial_Carcinoma,116,49,88,39
ARID1A,Bladder_Urothelial_Carcinoma,141,92,108,87
USH2A,Bladder_Urothelial_Carcinoma,60,4,50,4
UBR4,Bladder_Urothelial_Carcinoma,61,2,55,2
DNAH5,Bladder_Urothelial_Carcinoma,79,6,69,6
DMD,Bladder_Urothelial_Carcinoma,51,8,46,8
UTRN,Bladder_Urothelial_Carcinoma,57,5,45,4
DNAH10,Bladder_Urothelial_Carcinoma,57,5,47,5
ANK3,Bladder_Urothelial_Carcinoma,52,6,41,6
PIK3CA,Bladder_Urothelial_Carcinoma,102,1,91,1
MYCBP2,Bladder_Urothelial_Carcinoma,57,5,46,5
APOB,Bladder_Urothelial_Carcinoma,46,2,41,2
PDE4DIP,Bladder_Urothelial_Carcinoma,86,11,68,11
FAT3,Bladder_Urothelial_Carcinoma,72,3,60,3
MYH9,Bladder_Urothelial_Carcinoma,52,11,43,11
LYST,Bladder_Urothelial_Carcinoma,44,4,41,4
LRP2,Bladder_Urothelial_Carcinoma,54,8,48,7
VPS13D,Bladder_Urothelial_Carcinoma,62,7,49,7
MUC16,Bladder_Urothelial_Carcinoma,227,29,143,27
ANK2,Bladder_Urothelial_Carcinoma,62,4,53,4
AKAP9,Bladder_Urothelial_Carcinoma,68,4,50,4
GPR98,Bladder_Urothelial_Carcinoma,64,6,56,6
CREBBP,Bladder_Urothelial_Carcinoma,60,28,54,27
RNF213,Bladder_Urothelial_Carcinoma,62,6,54,6
OBSCN,Bladder_Urothelial_Carcinoma,93,7,76,7
PCDH15,Bladder_Urothelial_Carcinoma,47,5,44,5
SYNE2,Bladder_Urothelial_Carcinoma,81,8,60,8
HMCN1,Bladder_Urothelial_Carcinoma,106,14,89,12
SSPO,Bladder_Urothelial_Carcinoma,47,7,42,7
CSMD2,Bladder_Urothelial_Carcinoma,49,6,42,5
ERCC2,Bladder_Urothelial_Carcinoma,47,0,44,0
CUBN,Bladder_Urothelial_Carcinoma,73,8,64,8
CSMD3,Bladder_Urothelial_Carcinoma,88,8,71,8
RYR1,Bladder_Urothelial_Carcinoma,73,6,62,6
PKHD1,Bladder_Urothelial_Carcinoma,54,5,45,5
NEB,Bladder_Urothelial_Carcinoma,68,10,61,10
DIDO1,Bladder_Urothelial_Carcinoma,54,5,44,5
DNAH11,Bladder_Urothelial_Carcinoma,69,6,59,6
FAT4,Bladder_Urothelial_Carcinoma,108,17,73,17
ELF3,Bladder_Urothelial_Carcinoma,71,31,57,30
FREM2,Bladder_Urothelial_Carcinoma,46,6,42,6
SPTAN1,Bladder_Urothelial_Carcinoma,88,27,57,27
MDN1,Bladder_Urothelial_Carcinoma,58,4,49,4
FAT1,Bladder_Urothelial_Carcinoma,66,25,53,23
BIRC6,Bladder_Urothelial_Carcinoma,86,6,62,6
TNXB,Bladder_Urothelial_Carcinoma,50,5,44,5
MUC17,Bladder_Urothelial_Carcinoma,79,9,64,8
RYR3,Bladder_Urothelial_Carcinoma,74,6,61,6
KIAA1109,Bladder_Urothelial_Carcinoma,49,6,44,6
DST,Bladder_Urothelial_Carcinoma,93,10,68,9
PLEC,Bladder_Urothelial_Carcinoma,72,4,47,4
STAG2,Bladder_Urothelial_Carcinoma,70,46,63,45
DNAH3,Bladder_Urothelial_Carcinoma,67,8,56,8
SYNE1,Bladder_Urothelial_Carcinoma,128,17,98,17
EP300,Bladder_Urothelial_Carcinoma,87,30,62,29
ATM,Bladder_Urothelial_Carcinoma,74,21,58,20
BRCA2,Bladder_Urothelial_Carcinoma,58,10,44,9
TENM3,Bladder_Urothelial_Carcinoma,51,3,47,3
SPTA1,Bladder_Urothelial_Carcinoma,56,4,52,4
MALAT1,Bladder_Urothelial_Carcinoma,102,0,46,0
AHNAK2,Bladder_Urothelial_Carcinoma,83,3,70,2
ZFHX4,Bladder_Urothelial_Carcinoma,66,3,56,3
PKHD1L1,Bladder_Urothelial_Carcinoma,52,7,48,7
SACS,Bladder_Urothelial_Carcinoma,59,3,51,3
XIRP2,Bladder_Urothelial_Carcinoma,91,6,69,6
ZFP36L1,Bladder_Urothelial_Carcinoma,50,26,41,22
TBC1D12,Bladder_Urothelial_Carcinoma,93,1,81,1
DCHS2,Bladder_Urothelial_Carcinoma,54,5,44,5
FGFR3,Bladder_Urothelial_Carcinoma,76,3,62,3
KMT2A,Bladder_Urothelial_Carcinoma,70,27,51,25
FRY,Bladder_Urothelial_Carcinoma,43,7,41,7
