Gene_ID,Cancer_Type,Gene_Mutation_Count,Gene_Severe_Mutation_Count,Gene_Individuals_with_Mutations_Count,Gene_Individuals_with_Severe_Mutations_Count
DST,Cervical_Squamous_Cell_Carcinoma,68,6,43,6
SYNE2,Cervical_Squamous_Cell_Carcinoma,59,4,33,3
KMT2C,Cervical_Squamous_Cell_Carcinoma,81,35,57,28
XIST,Cervical_Squamous_Cell_Carcinoma,55,0,34,0
USH2A,Cervical_Squamous_Cell_Carcinoma,50,5,40,5
UBR4,Cervical_Squamous_Cell_Carcinoma,36,2,29,2
HUWE1,Cervical_Squamous_Cell_Carcinoma,47,6,35,6
DMD,Cervical_Squamous_Cell_Carcinoma,53,8,44,8
SYNE1,Cervical_Squamous_Cell_Carcinoma,70,9,46,9
EP300,Cervical_Squamous_Cell_Carcinoma,49,22,37,19
HYDIN,Cervical_Squamous_Cell_Carcinoma,42,5,30,5
TTN,Cervical_Squamous_Cell_Carcinoma,304,21,115,12
FBXW7,Cervical_Squamous_Cell_Carcinoma,39,13,35,13
LRP1B,Cervical_Squamous_Cell_Carcinoma,48,3,38,3
NAV3,Cervical_Squamous_Cell_Carcinoma,42,6,30,5
PIK3CA,Cervical_Squamous_Cell_Carcinoma,98,0,83,0
CSMD1,Cervical_Squamous_Cell_Carcinoma,53,6,39,6
MUC5B,Cervical_Squamous_Cell_Carcinoma,55,4,32,4
NEB,Cervical_Squamous_Cell_Carcinoma,47,9,30,8
ZFHX4,Cervical_Squamous_Cell_Carcinoma,43,2,34,2
FLG,Cervical_Squamous_Cell_Carcinoma,57,9,40,9
RYR2,Cervical_Squamous_Cell_Carcinoma,62,6,43,5
PDE4DIP,Cervical_Squamous_Cell_Carcinoma,46,2,29,2
LRP2,Cervical_Squamous_Cell_Carcinoma,42,3,29,3
TENM1,Cervical_Squamous_Cell_Carcinoma,44,3,32,1
MUC4,Cervical_Squamous_Cell_Carcinoma,142,17,51,13
MUC16,Cervical_Squamous_Cell_Carcinoma,115,9,58,5
GPR98,Cervical_Squamous_Cell_Carcinoma,50,3,34,3
CREBBP,Cervical_Squamous_Cell_Carcinoma,38,8,30,7
KMT2D,Cervical_Squamous_Cell_Carcinoma,83,28,49,24
OBSCN,Cervical_Squamous_Cell_Carcinoma,55,1,35,1
MUC17,Cervical_Squamous_Cell_Carcinoma,42,4,33,4
PTEN,Cervical_Squamous_Cell_Carcinoma,44,16,30,16
PCLO,Cervical_Squamous_Cell_Carcinoma,41,8,30,6
