Gene_ID,Cancer_Type,Gene_Mutation_Count,Gene_Severe_Mutation_Count,Gene_Individuals_with_Mutations_Count,Gene_Individuals_with_Severe_Mutations_Count
TTN,Cholangiocarcinoma,6,0,6,0
PBRM1,Cholangiocarcinoma,8,7,8,7
IDH1,Cholangiocarcinoma,5,0,5,0
KMT2C,Cholangiocarcinoma,4,2,4,2
ARID1A,Cholangiocarcinoma,4,4,4,4
FMN2,Cholangiocarcinoma,5,1,4,1
EPHA2,Cholangiocarcinoma,4,2,4,2
MUC5B,Cholangiocarcinoma,6,0,4,0
KAT6A,Cholangiocarcinoma,4,0,4,0
TP53,Cholangiocarcinoma,5,2,4,1
COL6A3,Cholangiocarcinoma,4,0,4,0
BAP1,Cholangiocarcinoma,8,5,7,5
