Gene_ID,Cancer_Type,Gene_Mutation_Count,Gene_Severe_Mutation_Count,Gene_Individuals_with_Mutations_Count,Gene_Individuals_with_Severe_Mutations_Count
SPEG,Colorectal_Adenocarcinoma,66,12,48,11
TNC,Colorectal_Adenocarcinoma,65,7,47,7
CARD11,Colorectal_Adenocarcinoma,52,11,44,10
THSD7A,Colorectal_Adenocarcinoma,49,10,39,8
FBN1,Colorectal_Adenocarcinoma,68,10,40,9
VPS13B,Colorectal_Adenocarcinoma,76,9,51,9
LAMA5,Colorectal_Adenocarcinoma,92,9,61,9
DNAH17,Colorectal_Adenocarcinoma,123,15,61,14
UNC80,Colorectal_Adenocarcinoma,110,17,74,16
WDFY3,Colorectal_Adenocarcinoma,54,10,37,9
MKI67,Colorectal_Adenocarcinoma,58,4,37,4
SMAD4,Colorectal_Adenocarcinoma,59,16,50,16
PTPRZ1,Colorectal_Adenocarcinoma,64,5,43,5
NIPBL,Colorectal_Adenocarcinoma,60,14,42,13
BCL9L,Colorectal_Adenocarcinoma,43,22,37,20
CUX2,Colorectal_Adenocarcinoma,45,5,37,5
HERC2,Colorectal_Adenocarcinoma,86,7,55,7
COL6A6,Colorectal_Adenocarcinoma,64,5,45,5
ATG2A,Colorectal_Adenocarcinoma,44,8,37,8
ANKRD11,Colorectal_Adenocarcinoma,58,7,44,7
DCLK1,Colorectal_Adenocarcinoma,58,4,48,4
ABCA13,Colorectal_Adenocarcinoma,125,19,73,17
GRIK3,Colorectal_Adenocarcinoma,40,2,37,2
NFASC,Colorectal_Adenocarcinoma,52,8,45,8
ARHGEF4,Colorectal_Adenocarcinoma,45,0,38,0
ADAMTS16,Colorectal_Adenocarcinoma,67,6,43,6
PDZD2,Colorectal_Adenocarcinoma,62,9,45,9
TTC28,Colorectal_Adenocarcinoma,60,4,39,3
SRCAP,Colorectal_Adenocarcinoma,62,11,46,10
FASN,Colorectal_Adenocarcinoma,47,4,38,4
PLXNA1,Colorectal_Adenocarcinoma,57,4,47,4
NBEA,Colorectal_Adenocarcinoma,100,25,57,22
SCN3A,Colorectal_Adenocarcinoma,65,12,40,10
CELSR2,Colorectal_Adenocarcinoma,53,6,41,5
AKAP12,Colorectal_Adenocarcinoma,51,11,40,11
DLC1,Colorectal_Adenocarcinoma,60,7,38,7
NCKAP5,Colorectal_Adenocarcinoma,49,3,37,3
ZNF536,Colorectal_Adenocarcinoma,71,2,59,2
HECW1,Colorectal_Adenocarcinoma,75,9,60,9
ZNF423,Colorectal_Adenocarcinoma,51,1,46,1
AKAP9,Colorectal_Adenocarcinoma,65,13,37,12
DOCK2,Colorectal_Adenocarcinoma,74,9,44,8
DYNC1H1,Colorectal_Adenocarcinoma,68,6,42,6
STAB1,Colorectal_Adenocarcinoma,68,15,46,13
COL18A1,Colorectal_Adenocarcinoma,64,13,52,11
SSPO,Colorectal_Adenocarcinoma,104,3,63,3
HDAC9,Colorectal_Adenocarcinoma,52,10,38,8
KIF1A,Colorectal_Adenocarcinoma,48,4,37,4
ARID1B,Colorectal_Adenocarcinoma,52,13,41,13
ATP10A,Colorectal_Adenocarcinoma,58,5,49,5
PCDHA12,Colorectal_Adenocarcinoma,50,2,42,2
CSMD3,Colorectal_Adenocarcinoma,161,26,78,22
ROBO1,Colorectal_Adenocarcinoma,63,6,48,6
LRP1,Colorectal_Adenocarcinoma,87,10,53,10
TNRC6B,Colorectal_Adenocarcinoma,47,15,37,13
PKHD1,Colorectal_Adenocarcinoma,75,11,47,10
DSCAML1,Colorectal_Adenocarcinoma,67,5,47,5
CACNA1B,Colorectal_Adenocarcinoma,67,2,50,2
CNOT1,Colorectal_Adenocarcinoma,59,7,38,7
TENM4,Colorectal_Adenocarcinoma,75,4,55,4
HECTD4,Colorectal_Adenocarcinoma,66,10,48,9
VPRBP,Colorectal_Adenocarcinoma,53,3,37,2
FNDC1,Colorectal_Adenocarcinoma,73,6,49,6
LAMA4,Colorectal_Adenocarcinoma,62,4,44,4
HELZ2,Colorectal_Adenocarcinoma,54,4,41,4
MUC4,Colorectal_Adenocarcinoma,76,6,49,6
DAAM2,Colorectal_Adenocarcinoma,44,3,37,3
PCDH18,Colorectal_Adenocarcinoma,57,4,38,4
FREM2,Colorectal_Adenocarcinoma,99,6,57,6
DYNC2H1,Colorectal_Adenocarcinoma,96,20,46,12
MDN1,Colorectal_Adenocarcinoma,96,13,52,13
FAT1,Colorectal_Adenocarcinoma,110,9,59,9
FMN2,Colorectal_Adenocarcinoma,64,5,47,5
MGA,Colorectal_Adenocarcinoma,54,19,37,18
ALMS1,Colorectal_Adenocarcinoma,68,3,43,3
CACNA1H,Colorectal_Adenocarcinoma,74,8,54,7
PEG3,Colorectal_Adenocarcinoma,72,4,49,3
TECTA,Colorectal_Adenocarcinoma,68,4,55,4
ABCA2,Colorectal_Adenocarcinoma,57,6,38,6
MUC17,Colorectal_Adenocarcinoma,62,3,42,3
RYR3,Colorectal_Adenocarcinoma,142,13,74,12
IGSF10,Colorectal_Adenocarcinoma,66,5,37,5
KIAA1109,Colorectal_Adenocarcinoma,88,9,56,8
PLEC,Colorectal_Adenocarcinoma,78,11,50,9
KCNA1,Colorectal_Adenocarcinoma,86,3,47,3
PAPPA,Colorectal_Adenocarcinoma,50,6,41,6
DNAH3,Colorectal_Adenocarcinoma,102,17,49,12
ATM,Colorectal_Adenocarcinoma,79,31,54,27
KCNJ12,Colorectal_Adenocarcinoma,50,0,42,0
CSMD1,Colorectal_Adenocarcinoma,156,17,82,15
FLNC,Colorectal_Adenocarcinoma,69,7,47,7
ZFHX4,Colorectal_Adenocarcinoma,140,21,86,20
THSD7B,Colorectal_Adenocarcinoma,56,11,41,9
ABCA4,Colorectal_Adenocarcinoma,55,10,39,9
LRRK2,Colorectal_Adenocarcinoma,76,17,51,14
DCHS2,Colorectal_Adenocarcinoma,127,12,67,11
CHD7,Colorectal_Adenocarcinoma,56,11,40,11
CMYA5,Colorectal_Adenocarcinoma,97,10,46,8
PCDHB8,Colorectal_Adenocarcinoma,81,2,63,2
PCDHA3,Colorectal_Adenocarcinoma,44,0,38,0
FBXW7,Colorectal_Adenocarcinoma,82,31,65,28
USP34,Colorectal_Adenocarcinoma,50,11,38,11
DNAH1,Colorectal_Adenocarcinoma,88,5,53,5
LRP1B,Colorectal_Adenocarcinoma,178,30,83,26
DNAH7,Colorectal_Adenocarcinoma,85,15,54,13
IGF2R,Colorectal_Adenocarcinoma,57,8,40,7
FUT9,Colorectal_Adenocarcinoma,154,0,68,0
PCDH10,Colorectal_Adenocarcinoma,68,3,48,3
SALL1,Colorectal_Adenocarcinoma,53,3,40,3
MUC5B,Colorectal_Adenocarcinoma,133,13,75,11
ZAN,Colorectal_Adenocarcinoma,54,4,37,4
CACNA1E,Colorectal_Adenocarcinoma,85,8,56,8
ROBO2,Colorectal_Adenocarcinoma,65,10,48,10
ADAMTS2,Colorectal_Adenocarcinoma,49,9,40,9
GPR158,Colorectal_Adenocarcinoma,46,4,38,4
MXRA5,Colorectal_Adenocarcinoma,70,2,54,2
AHNAK,Colorectal_Adenocarcinoma,84,4,44,4
ZNF831,Colorectal_Adenocarcinoma,48,4,39,4
COL27A1,Colorectal_Adenocarcinoma,63,9,45,8
NOS1,Colorectal_Adenocarcinoma,55,6,44,6
CNTNAP5,Colorectal_Adenocarcinoma,82,5,48,5
UNC79,Colorectal_Adenocarcinoma,84,14,48,13
CACNA1D,Colorectal_Adenocarcinoma,56,12,38,11
MACF1,Colorectal_Adenocarcinoma,104,13,52,10
PCDHA9,Colorectal_Adenocarcinoma,57,1,47,1
PTPRS,Colorectal_Adenocarcinoma,56,6,45,6
RNF43,Colorectal_Adenocarcinoma,50,35,39,32
CDH10,Colorectal_Adenocarcinoma,61,10,41,9
SOX9,Colorectal_Adenocarcinoma,63,44,53,42
TENM2,Colorectal_Adenocarcinoma,57,2,43,2
COL12A1,Colorectal_Adenocarcinoma,81,8,51,6
NRG1,Colorectal_Adenocarcinoma,44,3,37,3
ASTN1,Colorectal_Adenocarcinoma,54,3,37,3
SCN1A,Colorectal_Adenocarcinoma,59,14,43,14
MAGEC1,Colorectal_Adenocarcinoma,54,3,41,3
APOB,Colorectal_Adenocarcinoma,122,14,56,11
SPRY3,Colorectal_Adenocarcinoma,83,0,48,0
SLITRK5,Colorectal_Adenocarcinoma,69,6,48,6
ROS1,Colorectal_Adenocarcinoma,68,10,39,8
COL7A1,Colorectal_Adenocarcinoma,60,17,43,14
LRP2,Colorectal_Adenocarcinoma,121,12,66,10
FCGBP,Colorectal_Adenocarcinoma,92,5,61,5
KMT2B,Colorectal_Adenocarcinoma,81,24,55,22
FAT2,Colorectal_Adenocarcinoma,92,8,56,8
ANK2,Colorectal_Adenocarcinoma,102,14,62,12
DNAH14,Colorectal_Adenocarcinoma,91,8,44,8
RP1L1,Colorectal_Adenocarcinoma,52,2,43,2
GPR98,Colorectal_Adenocarcinoma,124,16,64,14
RTL1,Colorectal_Adenocarcinoma,57,8,40,8
PCDH9,Colorectal_Adenocarcinoma,64,9,46,8
DCHS1,Colorectal_Adenocarcinoma,64,5,43,4
FLNB,Colorectal_Adenocarcinoma,52,16,39,16
OBSCN,Colorectal_Adenocarcinoma,235,15,117,15
PCDH15,Colorectal_Adenocarcinoma,97,12,56,9
SYNE2,Colorectal_Adenocarcinoma,119,25,58,21
KIF26B,Colorectal_Adenocarcinoma,62,2,42,2
PLXNB3,Colorectal_Adenocarcinoma,64,5,44,5
TNS1,Colorectal_Adenocarcinoma,51,7,39,7
DYSF,Colorectal_Adenocarcinoma,66,16,52,15
ZFHX3,Colorectal_Adenocarcinoma,74,9,58,9
FBN3,Colorectal_Adenocarcinoma,78,13,55,13
MTUS2,Colorectal_Adenocarcinoma,64,3,46,3
BAI1,Colorectal_Adenocarcinoma,50,6,40,5
RUNX1T1,Colorectal_Adenocarcinoma,45,5,37,5
RYR1,Colorectal_Adenocarcinoma,137,9,83,8
MYH7,Colorectal_Adenocarcinoma,55,3,37,3
TSHZ3,Colorectal_Adenocarcinoma,59,3,45,3
GRIN2A,Colorectal_Adenocarcinoma,58,2,45,2
FAT4,Colorectal_Adenocarcinoma,219,27,104,20
TNR,Colorectal_Adenocarcinoma,61,6,49,5
TENM1,Colorectal_Adenocarcinoma,72,11,49,11
MUC6,Colorectal_Adenocarcinoma,55,4,39,4
TNXB,Colorectal_Adenocarcinoma,88,8,60,7
BIRC6,Colorectal_Adenocarcinoma,86,14,40,13
EYS,Colorectal_Adenocarcinoma,101,18,60,18
COL6A5,Colorectal_Adenocarcinoma,79,23,45,17
RP1,Colorectal_Adenocarcinoma,65,11,41,10
DNHD1,Colorectal_Adenocarcinoma,72,10,53,9
SVEP1,Colorectal_Adenocarcinoma,66,2,42,1
ADAMTS20,Colorectal_Adenocarcinoma,58,12,41,11
TET2,Colorectal_Adenocarcinoma,64,6,42,6
CNTNAP2,Colorectal_Adenocarcinoma,60,7,43,7
MED12L,Colorectal_Adenocarcinoma,49,6,41,6
MYO15A,Colorectal_Adenocarcinoma,68,6,44,6
BAI3,Colorectal_Adenocarcinoma,62,8,38,7
NOS3,Colorectal_Adenocarcinoma,58,7,43,7
HYDIN,Colorectal_Adenocarcinoma,122,15,75,15
VWF,Colorectal_Adenocarcinoma,59,3,42,3
CNTN5,Colorectal_Adenocarcinoma,47,3,37,3
LPHN3,Colorectal_Adenocarcinoma,61,11,41,9
RELN,Colorectal_Adenocarcinoma,75,10,48,10
SORCS1,Colorectal_Adenocarcinoma,51,7,45,7
TG,Colorectal_Adenocarcinoma,54,5,41,5
SACS,Colorectal_Adenocarcinoma,137,22,64,15
CDH23,Colorectal_Adenocarcinoma,69,4,53,4
SFMBT2,Colorectal_Adenocarcinoma,54,5,43,5
PTPRQ,Colorectal_Adenocarcinoma,52,12,37,11
DNAH9,Colorectal_Adenocarcinoma,94,15,55,13
DCC,Colorectal_Adenocarcinoma,66,10,40,7
TTC40,Colorectal_Adenocarcinoma,72,10,49,10
FRY,Colorectal_Adenocarcinoma,80,10,49,10
NCOR2,Colorectal_Adenocarcinoma,64,12,46,11
KALRN,Colorectal_Adenocarcinoma,53,8,39,8
DMBT1,Colorectal_Adenocarcinoma,50,8,37,8
ERBB4,Colorectal_Adenocarcinoma,54,10,40,10
TTN,Colorectal_Adenocarcinoma,928,116,229,61
SHANK1,Colorectal_Adenocarcinoma,60,6,42,6
PCDHGA6,Colorectal_Adenocarcinoma,46,5,40,5
CACNA1C,Colorectal_Adenocarcinoma,67,8,42,8
PABPC5,Colorectal_Adenocarcinoma,46,2,38,2
ASPM,Colorectal_Adenocarcinoma,69,19,45,18
FN1,Colorectal_Adenocarcinoma,62,8,48,8
DOCK3,Colorectal_Adenocarcinoma,65,20,45,19
FLG,Colorectal_Adenocarcinoma,111,10,75,9
NAV2,Colorectal_Adenocarcinoma,53,6,38,6
GABRA5,Colorectal_Adenocarcinoma,45,6,37,6
NALCN,Colorectal_Adenocarcinoma,75,5,50,5
GRIA4,Colorectal_Adenocarcinoma,61,6,42,6
LAMA2,Colorectal_Adenocarcinoma,85,17,43,13
KMT2D,Colorectal_Adenocarcinoma,106,29,60,21
NRXN2,Colorectal_Adenocarcinoma,51,4,40,4
PCDHB3,Colorectal_Adenocarcinoma,50,3,44,3
COL22A1,Colorectal_Adenocarcinoma,49,10,44,10
UBR4,Colorectal_Adenocarcinoma,73,7,49,7
LAMA1,Colorectal_Adenocarcinoma,84,8,49,8
CACNA1A,Colorectal_Adenocarcinoma,66,14,43,12
RIMS2,Colorectal_Adenocarcinoma,66,5,47,5
ARFGEF1,Colorectal_Adenocarcinoma,51,14,39,14
LOXHD1,Colorectal_Adenocarcinoma,80,4,46,4
ANK3,Colorectal_Adenocarcinoma,90,23,52,22
PDE4DIP,Colorectal_Adenocarcinoma,92,10,49,10
ANK1,Colorectal_Adenocarcinoma,60,5,43,5
MYH9,Colorectal_Adenocarcinoma,56,9,38,8
COL5A1,Colorectal_Adenocarcinoma,80,14,58,13
MUC16,Colorectal_Adenocarcinoma,361,37,127,24
PTCHD2,Colorectal_Adenocarcinoma,52,7,43,6
CREBBP,Colorectal_Adenocarcinoma,60,12,43,12
PLXNA4,Colorectal_Adenocarcinoma,60,7,39,7
RNF213,Colorectal_Adenocarcinoma,76,6,58,6
MEGF8,Colorectal_Adenocarcinoma,72,15,50,14
PCDHA6,Colorectal_Adenocarcinoma,50,0,39,0
HMCN1,Colorectal_Adenocarcinoma,111,13,64,12
FLRT2,Colorectal_Adenocarcinoma,127,4,73,4
TRRAP,Colorectal_Adenocarcinoma,79,9,49,9
GCN1L1,Colorectal_Adenocarcinoma,54,11,42,11
HSPG2,Colorectal_Adenocarcinoma,51,8,40,8
F8,Colorectal_Adenocarcinoma,58,10,39,8
PCDHB7,Colorectal_Adenocarcinoma,69,1,41,1
GPR112,Colorectal_Adenocarcinoma,55,9,39,8
CELSR1,Colorectal_Adenocarcinoma,60,11,44,10
DIDO1,Colorectal_Adenocarcinoma,68,7,47,6
ABCA1,Colorectal_Adenocarcinoma,55,5,39,5
LPA,Colorectal_Adenocarcinoma,47,10,38,9
PCDH17,Colorectal_Adenocarcinoma,93,5,66,5
SDK1,Colorectal_Adenocarcinoma,96,8,68,8
SPTB,Colorectal_Adenocarcinoma,46,5,39,5
RIMBP2,Colorectal_Adenocarcinoma,44,1,37,1
PXDNL,Colorectal_Adenocarcinoma,60,4,48,4
SYNE1,Colorectal_Adenocarcinoma,318,45,124,26
ZNF469,Colorectal_Adenocarcinoma,84,23,61,19
SPTA1,Colorectal_Adenocarcinoma,94,7,64,5
MAP2,Colorectal_Adenocarcinoma,63,10,40,9
MAP1B,Colorectal_Adenocarcinoma,62,7,38,6
PREX2,Colorectal_Adenocarcinoma,63,4,44,4
FRAS1,Colorectal_Adenocarcinoma,75,11,48,11
PKHD1L1,Colorectal_Adenocarcinoma,86,18,41,12
CDH9,Colorectal_Adenocarcinoma,55,9,40,9
LRRC7,Colorectal_Adenocarcinoma,65,12,41,11
SVIL,Colorectal_Adenocarcinoma,57,16,42,15
PKD1L1,Colorectal_Adenocarcinoma,57,6,40,6
SDK2,Colorectal_Adenocarcinoma,57,5,41,5
DSCAM,Colorectal_Adenocarcinoma,80,10,54,9
PCLO,Colorectal_Adenocarcinoma,134,21,76,19
GLI3,Colorectal_Adenocarcinoma,78,7,57,7
TAF1L,Colorectal_Adenocarcinoma,56,4,42,4
WDR87,Colorectal_Adenocarcinoma,103,17,50,13
SLITRK2,Colorectal_Adenocarcinoma,77,7,49,7
DNAH8,Colorectal_Adenocarcinoma,136,25,57,17
GRIK2,Colorectal_Adenocarcinoma,57,6,43,6
SOX11,Colorectal_Adenocarcinoma,144,0,89,0
ACAN,Colorectal_Adenocarcinoma,55,6,39,6
C5orf42,Colorectal_Adenocarcinoma,65,8,39,7
FLNA,Colorectal_Adenocarcinoma,61,10,40,9
PCDHA2,Colorectal_Adenocarcinoma,52,3,42,3
RYR2,Colorectal_Adenocarcinoma,198,29,99,20
TMEM132D,Colorectal_Adenocarcinoma,52,7,43,6
APC,Colorectal_Adenocarcinoma,474,414,282,273
GRIA2,Colorectal_Adenocarcinoma,53,5,37,5
TP53,Colorectal_Adenocarcinoma,258,70,241,68
PCDHB13,Colorectal_Adenocarcinoma,51,1,40,1
PXDN,Colorectal_Adenocarcinoma,62,15,43,14
DRD5,Colorectal_Adenocarcinoma,107,0,62,0
SEC16A,Colorectal_Adenocarcinoma,49,2,39,2
KMT2C,Colorectal_Adenocarcinoma,85,19,50,17
ARID1A,Colorectal_Adenocarcinoma,59,35,51,32
USH2A,Colorectal_Adenocarcinoma,133,13,74,12
MYO3A,Colorectal_Adenocarcinoma,62,8,46,7
BRAF,Colorectal_Adenocarcinoma,55,5,52,5
DNAH5,Colorectal_Adenocarcinoma,137,19,81,17
HTT,Colorectal_Adenocarcinoma,50,9,37,9
DMD,Colorectal_Adenocarcinoma,98,18,62,15
PCDHA11,Colorectal_Adenocarcinoma,50,1,44,1
DNAH10,Colorectal_Adenocarcinoma,122,11,52,9
BSN,Colorectal_Adenocarcinoma,77,6,52,6
COL11A1,Colorectal_Adenocarcinoma,68,11,50,11
NAV3,Colorectal_Adenocarcinoma,84,13,42,12
PTPN13,Colorectal_Adenocarcinoma,53,8,37,7
PIK3CA,Colorectal_Adenocarcinoma,132,4,105,4
MYCBP2,Colorectal_Adenocarcinoma,74,10,50,9
KCNB2,Colorectal_Adenocarcinoma,48,5,39,5
COL6A3,Colorectal_Adenocarcinoma,91,7,66,7
ASTN2,Colorectal_Adenocarcinoma,44,5,37,5
PTPRT,Colorectal_Adenocarcinoma,69,7,59,6
CDH4,Colorectal_Adenocarcinoma,51,5,43,4
FAT3,Colorectal_Adenocarcinoma,153,10,91,8
UNC13C,Colorectal_Adenocarcinoma,80,19,53,17
WDFY4,Colorectal_Adenocarcinoma,91,14,59,14
DCAF4L2,Colorectal_Adenocarcinoma,55,3,46,3
HRNR,Colorectal_Adenocarcinoma,57,6,48,6
NPAP1,Colorectal_Adenocarcinoma,90,2,56,2
KIAA1456,Colorectal_Adenocarcinoma,76,1,41,1
NRXN1,Colorectal_Adenocarcinoma,83,6,55,6
PAPPA2,Colorectal_Adenocarcinoma,62,4,50,4
TEX15,Colorectal_Adenocarcinoma,82,12,41,11
CHD5,Colorectal_Adenocarcinoma,42,3,38,3
CSMD2,Colorectal_Adenocarcinoma,108,9,64,9
DNAH6,Colorectal_Adenocarcinoma,72,9,38,9
CUBN,Colorectal_Adenocarcinoma,82,13,56,12
CROCC,Colorectal_Adenocarcinoma,54,4,40,4
AMER1,Colorectal_Adenocarcinoma,62,41,56,41
WDR33,Colorectal_Adenocarcinoma,44,2,37,2
SLITRK1,Colorectal_Adenocarcinoma,50,3,45,3
NEB,Colorectal_Adenocarcinoma,175,17,76,15
RIMS1,Colorectal_Adenocarcinoma,77,16,54,15
DSEL,Colorectal_Adenocarcinoma,67,5,40,5
ASH1L,Colorectal_Adenocarcinoma,57,10,42,8
DNAH11,Colorectal_Adenocarcinoma,140,23,71,19
KRAS,Colorectal_Adenocarcinoma,170,1,162,1
STAB2,Colorectal_Adenocarcinoma,50,5,37,5
PCDH11X,Colorectal_Adenocarcinoma,83,7,53,6
TRPS1,Colorectal_Adenocarcinoma,84,5,60,4
VCAN,Colorectal_Adenocarcinoma,100,8,47,7
ZNF804A,Colorectal_Adenocarcinoma,47,7,37,7
DST,Colorectal_Adenocarcinoma,194,22,73,18
PLXND1,Colorectal_Adenocarcinoma,54,2,39,2
EP400,Colorectal_Adenocarcinoma,70,11,51,11
SCN9A,Colorectal_Adenocarcinoma,65,10,44,10
HUWE1,Colorectal_Adenocarcinoma,50,2,38,2
PCDHA1,Colorectal_Adenocarcinoma,66,1,47,1
PCDHA13,Colorectal_Adenocarcinoma,48,3,41,3
TRIO,Colorectal_Adenocarcinoma,57,12,40,11
PRKDC,Colorectal_Adenocarcinoma,86,31,49,26
SCN5A,Colorectal_Adenocarcinoma,70,1,48,1
TENM3,Colorectal_Adenocarcinoma,74,8,51,7
DNAH12,Colorectal_Adenocarcinoma,89,20,40,15
AHNAK2,Colorectal_Adenocarcinoma,113,12,60,12
TCF7L2,Colorectal_Adenocarcinoma,56,21,53,21
TIAM1,Colorectal_Adenocarcinoma,54,9,39,6
PKD1,Colorectal_Adenocarcinoma,71,5,37,5
GLI2,Colorectal_Adenocarcinoma,51,7,38,6
EVC2,Colorectal_Adenocarcinoma,49,6,38,6
XIRP2,Colorectal_Adenocarcinoma,124,18,57,13
DNAH2,Colorectal_Adenocarcinoma,91,11,51,10
ASXL1,Colorectal_Adenocarcinoma,39,15,37,15
MYO18B,Colorectal_Adenocarcinoma,68,10,50,10
CPAMD8,Colorectal_Adenocarcinoma,56,8,40,7
BNC2,Colorectal_Adenocarcinoma,55,7,41,7
