Gene_ID,Cancer_Type,Gene_Mutation_Count,Gene_Severe_Mutation_Count,Gene_Individuals_with_Mutations_Count,Gene_Individuals_with_Severe_Mutations_Count
RYR3,Esophageal_Adenocarcinoma,24,2,21,2
DST,Esophageal_Adenocarcinoma,25,1,23,1
NRXN3,Esophageal_Adenocarcinoma,25,0,23,0
HMCN1,Esophageal_Adenocarcinoma,39,7,33,7
USH2A,Esophageal_Adenocarcinoma,27,0,23,0
NFE2L2,Esophageal_Adenocarcinoma,20,2,20,2
FLRT2,Esophageal_Adenocarcinoma,26,0,20,0
DNAH5,Esophageal_Adenocarcinoma,41,2,34,2
CSMD3,Esophageal_Adenocarcinoma,49,3,42,3
LAMA1,Esophageal_Adenocarcinoma,29,1,23,1
ERBB4,Esophageal_Adenocarcinoma,22,3,19,3
SYNE1,Esophageal_Adenocarcinoma,50,3,39,3
SOX11,Esophageal_Adenocarcinoma,38,0,29,0
RIMS2,Esophageal_Adenocarcinoma,30,1,25,1
TTN,Esophageal_Adenocarcinoma,153,14,94,13
HCN1,Esophageal_Adenocarcinoma,24,2,19,2
LRP1B,Esophageal_Adenocarcinoma,68,6,51,6
COL11A1,Esophageal_Adenocarcinoma,25,2,23,2
NAV3,Esophageal_Adenocarcinoma,27,3,23,3
FUT9,Esophageal_Adenocarcinoma,22,0,20,0
SPTA1,Esophageal_Adenocarcinoma,27,2,24,2
CSMD1,Esophageal_Adenocarcinoma,32,4,29,4
RIMS1,Esophageal_Adenocarcinoma,29,0,25,0
FLG,Esophageal_Adenocarcinoma,46,4,35,4
ZFHX4,Esophageal_Adenocarcinoma,27,1,22,1
PTPRT,Esophageal_Adenocarcinoma,24,1,20,1
SLITRK5,Esophageal_Adenocarcinoma,19,1,19,1
RYR2,Esophageal_Adenocarcinoma,35,4,33,4
FAT3,Esophageal_Adenocarcinoma,31,3,24,3
UNC13C,Esophageal_Adenocarcinoma,29,2,25,2
PKHD1L1,Esophageal_Adenocarcinoma,22,2,20,2
SACS,Esophageal_Adenocarcinoma,24,1,23,1
FAT4,Esophageal_Adenocarcinoma,26,2,22,2
XIRP2,Esophageal_Adenocarcinoma,22,1,21,1
PCDH15,Esophageal_Adenocarcinoma,26,3,22,2
LRP2,Esophageal_Adenocarcinoma,20,1,19,1
MUC4,Esophageal_Adenocarcinoma,27,2,26,2
TP53,Esophageal_Adenocarcinoma,181,75,158,70
LRRK2,Esophageal_Adenocarcinoma,22,4,21,4
MUC16,Esophageal_Adenocarcinoma,81,5,58,5
NPAP1,Esophageal_Adenocarcinoma,23,1,22,1
DNAH14,Esophageal_Adenocarcinoma,20,2,20,2
DYNC2H1,Esophageal_Adenocarcinoma,22,3,20,3
PCDH11X,Esophageal_Adenocarcinoma,19,2,19,2
FMN2,Esophageal_Adenocarcinoma,25,1,23,1
TRPS1,Esophageal_Adenocarcinoma,26,1,19,1
MMP16,Esophageal_Adenocarcinoma,23,0,22,0
PCDH9,Esophageal_Adenocarcinoma,21,1,20,1
KMT2D,Esophageal_Adenocarcinoma,31,15,26,15
CNTNAP5,Esophageal_Adenocarcinoma,21,0,20,0
PTPRD,Esophageal_Adenocarcinoma,20,0,19,0
OBSCN,Esophageal_Adenocarcinoma,34,3,30,3
ZNF804B,Esophageal_Adenocarcinoma,21,1,20,1
EYS,Esophageal_Adenocarcinoma,34,3,26,3
PCLO,Esophageal_Adenocarcinoma,46,8,34,8
