Gene_ID,Cancer_Type,Gene_Mutation_Count,Gene_Severe_Mutation_Count,Gene_Individuals_with_Mutations_Count,Gene_Individuals_with_Severe_Mutations_Count
DST,Head_and_Neck_Squamous_Cell_Carcinoma,82,12,66,11
USH2A,Head_and_Neck_Squamous_Cell_Carcinoma,102,11,80,10
PLEC,Head_and_Neck_Squamous_Cell_Carcinoma,106,11,64,9
CASP8,Head_and_Neck_Squamous_Cell_Carcinoma,64,33,54,31
HUWE1,Head_and_Neck_Squamous_Cell_Carcinoma,56,10,53,10
CUBN,Head_and_Neck_Squamous_Cell_Carcinoma,65,8,52,7
DNAH5,Head_and_Neck_Squamous_Cell_Carcinoma,108,17,81,17
CSMD3,Head_and_Neck_Squamous_Cell_Carcinoma,169,23,112,22
SYNE1,Head_and_Neck_Squamous_Cell_Carcinoma,136,13,99,12
DMD,Head_and_Neck_Squamous_Cell_Carcinoma,71,8,62,8
DNAH8,Head_and_Neck_Squamous_Cell_Carcinoma,55,8,52,8
TTN,Head_and_Neck_Squamous_Cell_Carcinoma,520,38,245,34
SI,Head_and_Neck_Squamous_Cell_Carcinoma,68,12,57,12
LRP1B,Head_and_Neck_Squamous_Cell_Carcinoma,132,15,100,14
COL11A1,Head_and_Neck_Squamous_Cell_Carcinoma,82,15,57,15
PIK3CA,Head_and_Neck_Squamous_Cell_Carcinoma,95,2,91,2
NSD1,Head_and_Neck_Squamous_Cell_Carcinoma,75,48,59,41
RELN,Head_and_Neck_Squamous_Cell_Carcinoma,64,9,54,9
APOB,Head_and_Neck_Squamous_Cell_Carcinoma,60,5,53,5
ZFHX4,Head_and_Neck_Squamous_Cell_Carcinoma,65,3,55,3
FLG,Head_and_Neck_Squamous_Cell_Carcinoma,100,13,78,12
RYR2,Head_and_Neck_Squamous_Cell_Carcinoma,103,11,73,10
PKHD1L1,Head_and_Neck_Squamous_Cell_Carcinoma,77,12,63,11
XIRP2,Head_and_Neck_Squamous_Cell_Carcinoma,77,4,65,4
FAT4,Head_and_Neck_Squamous_Cell_Carcinoma,72,0,57,0
PCDH15,Head_and_Neck_Squamous_Cell_Carcinoma,64,6,55,6
TP53,Head_and_Neck_Squamous_Cell_Carcinoma,438,184,354,173
MUC16,Head_and_Neck_Squamous_Cell_Carcinoma,178,21,114,20
AHNAK,Head_and_Neck_Squamous_Cell_Carcinoma,82,7,63,6
FAT1,Head_and_Neck_Squamous_Cell_Carcinoma,153,113,120,93
PAPPA2,Head_and_Neck_Squamous_Cell_Carcinoma,61,6,54,6
FAM135B,Head_and_Neck_Squamous_Cell_Carcinoma,75,3,60,3
CDKN2A,Head_and_Neck_Squamous_Cell_Carcinoma,114,90,106,87
NOTCH1,Head_and_Neck_Squamous_Cell_Carcinoma,104,38,93,37
KMT2D,Head_and_Neck_Squamous_Cell_Carcinoma,89,55,76,50
MUC17,Head_and_Neck_Squamous_Cell_Carcinoma,72,4,52,4
PCLO,Head_and_Neck_Squamous_Cell_Carcinoma,108,7,93,7
