Gene_ID,Cancer_Type,Gene_Mutation_Count,Gene_Severe_Mutation_Count,Gene_Individuals_with_Mutations_Count,Gene_Individuals_with_Severe_Mutations_Count
TTN,Liver_Hepatocellular_Carcinoma,178,13,128,13
FLG,Liver_Hepatocellular_Carcinoma,50,3,42,2
ABCA13,Liver_Hepatocellular_Carcinoma,43,7,37,7
RYR2,Liver_Hepatocellular_Carcinoma,54,8,46,7
LRP1B,Liver_Hepatocellular_Carcinoma,38,5,37,5
USH2A,Liver_Hepatocellular_Carcinoma,41,4,36,4
XIRP2,Liver_Hepatocellular_Carcinoma,42,2,36,2
CTNNB1,Liver_Hepatocellular_Carcinoma,100,2,95,2
TP53,Liver_Hepatocellular_Carcinoma,114,45,111,45
ALB,Liver_Hepatocellular_Carcinoma,58,37,49,31
CSMD3,Liver_Hepatocellular_Carcinoma,54,7,48,7
OBSCN,Liver_Hepatocellular_Carcinoma,63,3,53,3
MUC16,Liver_Hepatocellular_Carcinoma,101,8,80,8
APOB,Liver_Hepatocellular_Carcinoma,44,20,40,19
PCLO,Liver_Hepatocellular_Carcinoma,63,6,49,6
