Gene_ID,Cancer_Type,Gene_Mutation_Count,Gene_Severe_Mutation_Count,Gene_Individuals_with_Mutations_Count,Gene_Individuals_with_Severe_Mutations_Count
PCDHB8,Lung_Adenocarcinoma,108,3,87,2
MYH1,Lung_Adenocarcinoma,84,18,73,17
SPEG,Lung_Adenocarcinoma,60,10,51,10
NRXN3,Lung_Adenocarcinoma,59,1,51,1
THSD7A,Lung_Adenocarcinoma,70,10,61,10
NLRP3,Lung_Adenocarcinoma,101,12,77,12
XIST,Lung_Adenocarcinoma,103,0,84,0
MYO7B,Lung_Adenocarcinoma,66,4,56,4
TAF1L,Lung_Adenocarcinoma,80,9,65,9
VPS13B,Lung_Adenocarcinoma,59,9,53,9
SLC39A12,Lung_Adenocarcinoma,66,7,52,7
POTEH,Lung_Adenocarcinoma,60,6,52,6
POM121L12,Lung_Adenocarcinoma,71,2,64,2
MYH4,Lung_Adenocarcinoma,68,10,59,9
SLITRK2,Lung_Adenocarcinoma,81,3,68,3
ERBB4,Lung_Adenocarcinoma,60,10,51,10
WDFY3,Lung_Adenocarcinoma,56,10,53,10
DNAH8,Lung_Adenocarcinoma,94,12,78,11
RGPD4,Lung_Adenocarcinoma,70,6,62,6
GRID2,Lung_Adenocarcinoma,65,8,54,7
TTN,Lung_Adenocarcinoma,839,59,284,53
SLITRK3,Lung_Adenocarcinoma,64,6,55,6
SEMA5A,Lung_Adenocarcinoma,69,10,54,10
SI,Lung_Adenocarcinoma,120,11,93,11
ACAN,Lung_Adenocarcinoma,60,3,54,3
LRP1B,Lung_Adenocarcinoma,346,44,194,41
DNAH7,Lung_Adenocarcinoma,75,8,68,8
CACNA1C,Lung_Adenocarcinoma,72,5,65,5
PCDH10,Lung_Adenocarcinoma,98,5,78,5
SALL1,Lung_Adenocarcinoma,77,3,58,3
LPPR4,Lung_Adenocarcinoma,70,7,60,7
ITGAX,Lung_Adenocarcinoma,61,7,51,7
CTNND2,Lung_Adenocarcinoma,91,8,72,8
MUC5B,Lung_Adenocarcinoma,109,8,76,8
ASPM,Lung_Adenocarcinoma,90,5,80,5
FLG2,Lung_Adenocarcinoma,95,8,80,8
LRRIQ1,Lung_Adenocarcinoma,65,9,57,9
PTPRZ1,Lung_Adenocarcinoma,78,6,62,6
EPHA6,Lung_Adenocarcinoma,65,6,57,6
NLGN4X,Lung_Adenocarcinoma,72,6,62,6
FLG,Lung_Adenocarcinoma,242,18,145,17
LPHN2,Lung_Adenocarcinoma,63,5,53,5
DCDC1,Lung_Adenocarcinoma,77,11,63,11
ZAN,Lung_Adenocarcinoma,84,8,66,8
RYR2,Lung_Adenocarcinoma,441,48,222,41
CACNA1E,Lung_Adenocarcinoma,139,15,101,14
SPHKAP,Lung_Adenocarcinoma,72,4,59,4
CDH7,Lung_Adenocarcinoma,65,9,59,9
HERC2,Lung_Adenocarcinoma,91,10,76,10
ROBO2,Lung_Adenocarcinoma,66,6,58,6
LTBP1,Lung_Adenocarcinoma,66,9,56,9
CUX2,Lung_Adenocarcinoma,57,2,51,2
GPR158,Lung_Adenocarcinoma,77,9,66,9
BRINP3,Lung_Adenocarcinoma,103,12,83,12
NLRP5,Lung_Adenocarcinoma,65,4,56,4
TP53,Lung_Adenocarcinoma,280,107,264,106
MXRA5,Lung_Adenocarcinoma,123,7,96,7
C1orf173,Lung_Adenocarcinoma,115,12,91,12
AHNAK,Lung_Adenocarcinoma,81,7,69,7
SPATA31D1,Lung_Adenocarcinoma,76,4,64,4
ZNF831,Lung_Adenocarcinoma,107,10,85,9
NALCN,Lung_Adenocarcinoma,121,15,89,14
ABCA13,Lung_Adenocarcinoma,105,12,89,12
CNTNAP4,Lung_Adenocarcinoma,71,12,56,11
LAMA2,Lung_Adenocarcinoma,105,12,80,12
KMT2D,Lung_Adenocarcinoma,54,8,51,8
CNTNAP5,Lung_Adenocarcinoma,125,10,91,10
UNC79,Lung_Adenocarcinoma,99,8,73,7
ADAMTS16,Lung_Adenocarcinoma,55,9,53,9
KLHL1,Lung_Adenocarcinoma,61,11,54,9
FAM47C,Lung_Adenocarcinoma,93,12,75,12
MACF1,Lung_Adenocarcinoma,75,10,61,10
FAM47A,Lung_Adenocarcinoma,78,10,60,10
KMT2C,Lung_Adenocarcinoma,90,11,72,11
COL22A1,Lung_Adenocarcinoma,90,13,69,13
USH2A,Lung_Adenocarcinoma,338,31,190,30
PTPRB,Lung_Adenocarcinoma,60,8,51,8
CDH10,Lung_Adenocarcinoma,129,17,100,16
CDH12,Lung_Adenocarcinoma,84,9,72,9
GRM5,Lung_Adenocarcinoma,54,3,51,3
TENM2,Lung_Adenocarcinoma,73,7,67,7
DNAH5,Lung_Adenocarcinoma,99,12,77,12
CDH8,Lung_Adenocarcinoma,64,7,55,7
LAMA1,Lung_Adenocarcinoma,79,9,63,8
DMD,Lung_Adenocarcinoma,138,22,92,19
EGFR,Lung_Adenocarcinoma,86,31,70,31
COL12A1,Lung_Adenocarcinoma,71,10,61,10
RIMS2,Lung_Adenocarcinoma,118,11,91,11
HCN1,Lung_Adenocarcinoma,90,5,75,5
CTNNA2,Lung_Adenocarcinoma,92,12,69,12
ASTN1,Lung_Adenocarcinoma,117,9,91,9
ADAMTS12,Lung_Adenocarcinoma,156,16,116,16
COL11A1,Lung_Adenocarcinoma,158,26,112,24
NAV3,Lung_Adenocarcinoma,156,16,117,15
MAGEC1,Lung_Adenocarcinoma,69,7,55,7
NBAS,Lung_Adenocarcinoma,60,10,52,10
KCNB2,Lung_Adenocarcinoma,56,0,51,0
COL6A3,Lung_Adenocarcinoma,96,6,76,6
APOB,Lung_Adenocarcinoma,142,6,109,6
ASTN2,Lung_Adenocarcinoma,85,10,71,9
SCN3A,Lung_Adenocarcinoma,59,3,56,3
PTPRT,Lung_Adenocarcinoma,86,12,66,12
OVCH1,Lung_Adenocarcinoma,66,10,57,10
FAT3,Lung_Adenocarcinoma,202,18,139,18
PDE4DIP,Lung_Adenocarcinoma,62,6,54,5
DCAF4L2,Lung_Adenocarcinoma,78,10,67,10
UNC13C,Lung_Adenocarcinoma,63,4,53,4
LYST,Lung_Adenocarcinoma,61,7,54,7
NCKAP5,Lung_Adenocarcinoma,76,8,66,8
ANK1,Lung_Adenocarcinoma,58,8,51,8
ZNF536,Lung_Adenocarcinoma,182,20,132,20
LRP2,Lung_Adenocarcinoma,104,6,83,6
FCGBP,Lung_Adenocarcinoma,65,7,57,7
CRB1,Lung_Adenocarcinoma,84,9,72,9
STK11,Lung_Adenocarcinoma,82,55,75,53
HECW1,Lung_Adenocarcinoma,84,10,65,10
ZNF521,Lung_Adenocarcinoma,85,12,62,11
HRNR,Lung_Adenocarcinoma,114,10,84,10
MUC16,Lung_Adenocarcinoma,500,48,237,42
NPAP1,Lung_Adenocarcinoma,123,7,96,6
FAT2,Lung_Adenocarcinoma,74,8,62,8
ANK2,Lung_Adenocarcinoma,156,13,113,13
ZNF423,Lung_Adenocarcinoma,71,7,60,7
RP1L1,Lung_Adenocarcinoma,135,11,100,11
NRXN1,Lung_Adenocarcinoma,131,13,94,13
ZP4,Lung_Adenocarcinoma,70,9,64,9
GPR98,Lung_Adenocarcinoma,63,10,57,10
ACTN2,Lung_Adenocarcinoma,62,3,53,3
TMTC1,Lung_Adenocarcinoma,66,9,53,9
PAPPA2,Lung_Adenocarcinoma,164,15,112,15
FAM135B,Lung_Adenocarcinoma,123,9,94,9
PLXNA4,Lung_Adenocarcinoma,95,6,77,6
TEX15,Lung_Adenocarcinoma,65,10,60,10
PTPRD,Lung_Adenocarcinoma,128,15,99,14
DCAF12L2,Lung_Adenocarcinoma,62,4,51,4
TLR4,Lung_Adenocarcinoma,84,10,74,10
OBSCN,Lung_Adenocarcinoma,146,9,116,9
DOCK2,Lung_Adenocarcinoma,96,12,74,10
GRM8,Lung_Adenocarcinoma,69,8,57,8
PCDH15,Lung_Adenocarcinoma,191,18,124,16
SYNE2,Lung_Adenocarcinoma,81,12,68,12
HMCN1,Lung_Adenocarcinoma,126,21,94,19
SSPO,Lung_Adenocarcinoma,110,4,94,4
CSMD2,Lung_Adenocarcinoma,110,11,90,11
PLCB1,Lung_Adenocarcinoma,63,5,54,5
