Gene_ID,Cancer_Type,Gene_Mutation_Count,Gene_Severe_Mutation_Count,Gene_Individuals_with_Mutations_Count,Gene_Individuals_with_Severe_Mutations_Count
PCDHB8,Lung_Squamous_Cell_Carcinoma,64,1,57,1
MYH1,Lung_Squamous_Cell_Carcinoma,78,7,68,6
THSD7A,Lung_Squamous_Cell_Carcinoma,79,5,60,5
KALRN,Lung_Squamous_Cell_Carcinoma,65,5,59,5
NLRP3,Lung_Squamous_Cell_Carcinoma,60,3,54,3
XIST,Lung_Squamous_Cell_Carcinoma,88,0,71,0
VPS13B,Lung_Squamous_Cell_Carcinoma,66,5,55,5
TRIM51,Lung_Squamous_Cell_Carcinoma,63,9,56,9
TAF1L,Lung_Squamous_Cell_Carcinoma,57,3,53,3
POM121L12,Lung_Squamous_Cell_Carcinoma,52,3,48,3
MYH4,Lung_Squamous_Cell_Carcinoma,68,5,63,5
GRM1,Lung_Squamous_Cell_Carcinoma,63,6,52,6
ERBB4,Lung_Squamous_Cell_Carcinoma,54,7,49,7
DNAH8,Lung_Squamous_Cell_Carcinoma,120,13,96,12
GRID2,Lung_Squamous_Cell_Carcinoma,53,1,50,1
TTN,Lung_Squamous_Cell_Carcinoma,1147,85,376,77
SLITRK3,Lung_Squamous_Cell_Carcinoma,77,2,68,2
SI,Lung_Squamous_Cell_Carcinoma,121,22,93,21
LRP1B,Lung_Squamous_Cell_Carcinoma,290,42,188,38
DNAH7,Lung_Squamous_Cell_Carcinoma,108,9,93,9
CACNA1C,Lung_Squamous_Cell_Carcinoma,67,4,55,4
PCDH10,Lung_Squamous_Cell_Carcinoma,75,5,63,5
SALL1,Lung_Squamous_Cell_Carcinoma,56,6,50,6
DGKI,Lung_Squamous_Cell_Carcinoma,55,5,49,5
CTNND2,Lung_Squamous_Cell_Carcinoma,67,6,63,5
BCLAF1,Lung_Squamous_Cell_Carcinoma,52,1,50,1
MUC5B,Lung_Squamous_Cell_Carcinoma,92,8,75,7
ASPM,Lung_Squamous_Cell_Carcinoma,56,5,50,5
FLG,Lung_Squamous_Cell_Carcinoma,131,11,97,11
DCDC1,Lung_Squamous_Cell_Carcinoma,62,5,55,5
POTEG,Lung_Squamous_Cell_Carcinoma,61,9,54,9
ZAN,Lung_Squamous_Cell_Carcinoma,55,4,54,4
RYR2,Lung_Squamous_Cell_Carcinoma,327,37,205,34
SPHKAP,Lung_Squamous_Cell_Carcinoma,89,8,79,8
TMEM132D,Lung_Squamous_Cell_Carcinoma,86,4,71,4
CACNA1E,Lung_Squamous_Cell_Carcinoma,71,7,63,7
DPP10,Lung_Squamous_Cell_Carcinoma,58,6,51,6
HERC2,Lung_Squamous_Cell_Carcinoma,73,11,64,11
COL6A6,Lung_Squamous_Cell_Carcinoma,52,3,49,3
GPR158,Lung_Squamous_Cell_Carcinoma,55,9,53,9
BRINP3,Lung_Squamous_Cell_Carcinoma,86,9,78,9
TP53,Lung_Squamous_Cell_Carcinoma,431,156,401,154
C1orf173,Lung_Squamous_Cell_Carcinoma,114,16,97,15
AHNAK,Lung_Squamous_Cell_Carcinoma,82,9,71,9
SCN2A,Lung_Squamous_Cell_Carcinoma,74,6,65,6
SPATA31D1,Lung_Squamous_Cell_Carcinoma,56,7,47,7
ZNF831,Lung_Squamous_Cell_Carcinoma,60,6,53,6
ABCA13,Lung_Squamous_Cell_Carcinoma,92,9,79,9
NALCN,Lung_Squamous_Cell_Carcinoma,67,10,57,10
NOS1,Lung_Squamous_Cell_Carcinoma,52,5,50,5
CNTNAP4,Lung_Squamous_Cell_Carcinoma,66,8,54,8
ZEB2,Lung_Squamous_Cell_Carcinoma,52,2,49,2
LAMA2,Lung_Squamous_Cell_Carcinoma,86,16,78,15
KMT2D,Lung_Squamous_Cell_Carcinoma,134,72,110,67
CNTNAP5,Lung_Squamous_Cell_Carcinoma,105,11,93,11
UNC79,Lung_Squamous_Cell_Carcinoma,59,4,51,4
ADAMTS16,Lung_Squamous_Cell_Carcinoma,73,10,65,10
KLHL1,Lung_Squamous_Cell_Carcinoma,61,9,53,9
FAM47C,Lung_Squamous_Cell_Carcinoma,73,3,59,3
F5,Lung_Squamous_Cell_Carcinoma,53,4,49,4
MACF1,Lung_Squamous_Cell_Carcinoma,67,5,58,5
FAM47A,Lung_Squamous_Cell_Carcinoma,58,6,51,6
KMT2C,Lung_Squamous_Cell_Carcinoma,87,21,81,20
COL22A1,Lung_Squamous_Cell_Carcinoma,109,21,93,21
USH2A,Lung_Squamous_Cell_Carcinoma,265,27,183,27
PTPRB,Lung_Squamous_Cell_Carcinoma,54,6,47,6
CDH10,Lung_Squamous_Cell_Carcinoma,162,18,121,18
CDH12,Lung_Squamous_Cell_Carcinoma,84,10,70,10
GRM5,Lung_Squamous_Cell_Carcinoma,51,6,48,6
DNAH5,Lung_Squamous_Cell_Carcinoma,158,19,114,18
CDH8,Lung_Squamous_Cell_Carcinoma,53,7,49,6
LAMA1,Lung_Squamous_Cell_Carcinoma,61,5,52,5
DMD,Lung_Squamous_Cell_Carcinoma,90,9,75,9
COL12A1,Lung_Squamous_Cell_Carcinoma,68,12,63,10
HCN1,Lung_Squamous_Cell_Carcinoma,118,10,96,10
RIMS2,Lung_Squamous_Cell_Carcinoma,75,6,62,6
GALNT13,Lung_Squamous_Cell_Carcinoma,48,5,47,5
DNAH10,Lung_Squamous_Cell_Carcinoma,53,6,49,6
CTNNA2,Lung_Squamous_Cell_Carcinoma,89,9,78,9
ASTN1,Lung_Squamous_Cell_Carcinoma,71,13,61,13
ADAMTS12,Lung_Squamous_Cell_Carcinoma,115,14,95,14
COL11A1,Lung_Squamous_Cell_Carcinoma,119,17,96,17
NAV3,Lung_Squamous_Cell_Carcinoma,157,16,124,16
SCN1A,Lung_Squamous_Cell_Carcinoma,84,9,69,9
ZNF99,Lung_Squamous_Cell_Carcinoma,70,7,64,7
PIK3CA,Lung_Squamous_Cell_Carcinoma,62,1,59,1
MAGEC1,Lung_Squamous_Cell_Carcinoma,64,4,56,4
OTOGL,Lung_Squamous_Cell_Carcinoma,52,8,49,8
COL6A3,Lung_Squamous_Cell_Carcinoma,74,9,60,9
APOB,Lung_Squamous_Cell_Carcinoma,116,9,95,9
TRHDE,Lung_Squamous_Cell_Carcinoma,59,6,51,6
STON1-GTF2A1L,Lung_Squamous_Cell_Carcinoma,50,2,48,2
ROS1,Lung_Squamous_Cell_Carcinoma,50,4,47,4
FAT3,Lung_Squamous_Cell_Carcinoma,123,9,98,9
PDE4DIP,Lung_Squamous_Cell_Carcinoma,87,7,76,7
UNC13C,Lung_Squamous_Cell_Carcinoma,79,12,75,12
DCAF4L2,Lung_Squamous_Cell_Carcinoma,62,5,53,5
LRP2,Lung_Squamous_Cell_Carcinoma,114,8,89,8
ZNF536,Lung_Squamous_Cell_Carcinoma,102,7,86,7
FCGBP,Lung_Squamous_Cell_Carcinoma,84,3,70,3
CRB1,Lung_Squamous_Cell_Carcinoma,73,7,63,7
HECW1,Lung_Squamous_Cell_Carcinoma,55,8,49,8
MUC16,Lung_Squamous_Cell_Carcinoma,424,40,233,35
NPAP1,Lung_Squamous_Cell_Carcinoma,71,3,60,3
ANK2,Lung_Squamous_Cell_Carcinoma,102,6,91,6
NRXN1,Lung_Squamous_Cell_Carcinoma,78,7,64,7
GPR98,Lung_Squamous_Cell_Carcinoma,94,8,83,8
PAPPA2,Lung_Squamous_Cell_Carcinoma,132,10,108,10
FAM135B,Lung_Squamous_Cell_Carcinoma,193,18,142,18
PLXNA4,Lung_Squamous_Cell_Carcinoma,95,10,84,10
TLR4,Lung_Squamous_Cell_Carcinoma,57,7,50,7
OBSCN,Lung_Squamous_Cell_Carcinoma,93,10,77,10
GRM8,Lung_Squamous_Cell_Carcinoma,72,4,64,4
DOCK2,Lung_Squamous_Cell_Carcinoma,54,3,47,3
PTEN,Lung_Squamous_Cell_Carcinoma,57,31,53,31
UNC5D,Lung_Squamous_Cell_Carcinoma,60,6,53,6
PCDH15,Lung_Squamous_Cell_Carcinoma,147,15,107,15
SYNE2,Lung_Squamous_Cell_Carcinoma,76,9,61,9
HMCN1,Lung_Squamous_Cell_Carcinoma,97,10,69,10
SSPO,Lung_Squamous_Cell_Carcinoma,86,3,70,3
CSMD2,Lung_Squamous_Cell_Carcinoma,101,11,83,11
ASXL3,Lung_Squamous_Cell_Carcinoma,59,2,53,2
BAGE2,Lung_Squamous_Cell_Carcinoma,97,0,86,0
NFE2L2,Lung_Squamous_Cell_Carcinoma,79,5,74,5
ATP10A,Lung_Squamous_Cell_Carcinoma,66,10,57,9
CUBN,Lung_Squamous_Cell_Carcinoma,103,11,85,11
LRFN5,Lung_Squamous_Cell_Carcinoma,67,4,54,4
DYSF,Lung_Squamous_Cell_Carcinoma,72,8,62,8
CSMD3,Lung_Squamous_Cell_Carcinoma,359,53,227,50
EPHA5,Lung_Squamous_Cell_Carcinoma,60,8,51,8
ZFHX3,Lung_Squamous_Cell_Carcinoma,55,6,50,6
ZDBF2,Lung_Squamous_Cell_Carcinoma,53,7,47,7
RUNX1T1,Lung_Squamous_Cell_Carcinoma,51,6,50,6
KEAP1,Lung_Squamous_Cell_Carcinoma,59,5,50,5
GPR112,Lung_Squamous_Cell_Carcinoma,67,8,62,8
RYR1,Lung_Squamous_Cell_Carcinoma,109,11,93,11
ADCY8,Lung_Squamous_Cell_Carcinoma,53,5,47,5
PKHD1,Lung_Squamous_Cell_Carcinoma,124,11,107,11
LRRTM4,Lung_Squamous_Cell_Carcinoma,57,3,54,3
MYH7,Lung_Squamous_Cell_Carcinoma,54,10,51,10
NEB,Lung_Squamous_Cell_Carcinoma,96,14,84,13
ZIC1,Lung_Squamous_Cell_Carcinoma,65,6,55,6
RIMS1,Lung_Squamous_Cell_Carcinoma,57,7,51,7
ZNF479,Lung_Squamous_Cell_Carcinoma,61,12,54,12
DNAH11,Lung_Squamous_Cell_Carcinoma,94,8,78,8
GRIN2A,Lung_Squamous_Cell_Carcinoma,64,2,56,2
FAT4,Lung_Squamous_Cell_Carcinoma,94,5,85,5
TNR,Lung_Squamous_Cell_Carcinoma,105,9,93,9
GRIN2B,Lung_Squamous_Cell_Carcinoma,64,3,59,3
TENM1,Lung_Squamous_Cell_Carcinoma,83,7,70,7
EPB41L3,Lung_Squamous_Cell_Carcinoma,63,13,57,13
FBN2,Lung_Squamous_Cell_Carcinoma,56,4,48,4
FSHR,Lung_Squamous_Cell_Carcinoma,48,5,47,5
TNN,Lung_Squamous_Cell_Carcinoma,94,9,86,9
NLRP13,Lung_Squamous_Cell_Carcinoma,56,7,48,7
STAB2,Lung_Squamous_Cell_Carcinoma,73,7,67,7
EPHA3,Lung_Squamous_Cell_Carcinoma,53,8,48,8
MYO16,Lung_Squamous_Cell_Carcinoma,50,6,47,6
PCDH11X,Lung_Squamous_Cell_Carcinoma,110,6,94,6
FAT1,Lung_Squamous_Cell_Carcinoma,87,42,75,39
NCAM2,Lung_Squamous_Cell_Carcinoma,68,10,56,9
MDN1,Lung_Squamous_Cell_Carcinoma,61,7,54,7
FMN2,Lung_Squamous_Cell_Carcinoma,100,6,86,5
MGAM,Lung_Squamous_Cell_Carcinoma,57,7,52,7
ALMS1,Lung_Squamous_Cell_Carcinoma,63,8,53,8
PEG3,Lung_Squamous_Cell_Carcinoma,89,11,70,11
ZNF804A,Lung_Squamous_Cell_Carcinoma,104,9,81,9
BIRC6,Lung_Squamous_Cell_Carcinoma,68,6,57,6
TECTA,Lung_Squamous_Cell_Carcinoma,53,1,49,1
MUC17,Lung_Squamous_Cell_Carcinoma,129,10,102,10
ZNF804B,Lung_Squamous_Cell_Carcinoma,87,7,80,7
RYR3,Lung_Squamous_Cell_Carcinoma,152,23,111,21
KIAA1109,Lung_Squamous_Cell_Carcinoma,64,9,55,9
DST,Lung_Squamous_Cell_Carcinoma,87,12,76,12
RP1,Lung_Squamous_Cell_Carcinoma,70,6,64,6
ZNF208,Lung_Squamous_Cell_Carcinoma,68,5,59,5
NF1,Lung_Squamous_Cell_Carcinoma,62,26,58,25
ADAMTS20,Lung_Squamous_Cell_Carcinoma,67,6,56,6
PLEC,Lung_Squamous_Cell_Carcinoma,71,3,60,3
CNTNAP2,Lung_Squamous_Cell_Carcinoma,95,5,82,5
MYH15,Lung_Squamous_Cell_Carcinoma,59,4,50,4
DNAH3,Lung_Squamous_Cell_Carcinoma,67,4,63,4
PXDNL,Lung_Squamous_Cell_Carcinoma,68,3,60,3
HUWE1,Lung_Squamous_Cell_Carcinoma,55,5,48,5
WBSCR17,Lung_Squamous_Cell_Carcinoma,56,3,51,3
BAI3,Lung_Squamous_Cell_Carcinoma,102,17,92,17
SYNE1,Lung_Squamous_Cell_Carcinoma,274,29,182,27
HYDIN,Lung_Squamous_Cell_Carcinoma,61,5,57,5
PRDM9,Lung_Squamous_Cell_Carcinoma,104,20,86,19
MYH2,Lung_Squamous_Cell_Carcinoma,77,10,70,10
DPP6,Lung_Squamous_Cell_Carcinoma,73,5,64,5
MYH13,Lung_Squamous_Cell_Carcinoma,54,6,48,6
TENM3,Lung_Squamous_Cell_Carcinoma,59,3,56,3
SPTA1,Lung_Squamous_Cell_Carcinoma,160,18,121,17
CSMD1,Lung_Squamous_Cell_Carcinoma,118,12,93,12
LPHN3,Lung_Squamous_Cell_Carcinoma,75,9,67,9
PPFIA2,Lung_Squamous_Cell_Carcinoma,55,10,50,10
FLNC,Lung_Squamous_Cell_Carcinoma,59,8,53,8
LCT,Lung_Squamous_Cell_Carcinoma,62,8,57,8
NLRP12,Lung_Squamous_Cell_Carcinoma,62,7,51,6
RELN,Lung_Squamous_Cell_Carcinoma,129,13,98,13
AHNAK2,Lung_Squamous_Cell_Carcinoma,102,8,74,7
SORCS1,Lung_Squamous_Cell_Carcinoma,76,8,66,7
MAP2,Lung_Squamous_Cell_Carcinoma,51,2,47,2
PIK3CG,Lung_Squamous_Cell_Carcinoma,59,7,53,7
ZFHX4,Lung_Squamous_Cell_Carcinoma,252,21,171,21
THSD7B,Lung_Squamous_Cell_Carcinoma,83,10,68,10
PKHD1L1,Lung_Squamous_Cell_Carcinoma,126,13,108,12
CDH18,Lung_Squamous_Cell_Carcinoma,84,7,71,7
PREX2,Lung_Squamous_Cell_Carcinoma,58,8,53,8
SACS,Lung_Squamous_Cell_Carcinoma,56,8,49,8
LRRC4C,Lung_Squamous_Cell_Carcinoma,52,4,47,4
XIRP2,Lung_Squamous_Cell_Carcinoma,169,13,124,12
SPAG17,Lung_Squamous_Cell_Carcinoma,50,9,47,9
CDH9,Lung_Squamous_Cell_Carcinoma,74,7,64,6
C6,Lung_Squamous_Cell_Carcinoma,65,7,55,7
KIF2B,Lung_Squamous_Cell_Carcinoma,66,2,55,2
LRRK2,Lung_Squamous_Cell_Carcinoma,81,13,73,13
DNAH9,Lung_Squamous_Cell_Carcinoma,118,22,92,21
DCC,Lung_Squamous_Cell_Carcinoma,71,8,62,8
FSCB,Lung_Squamous_Cell_Carcinoma,52,5,47,5
LRRC7,Lung_Squamous_Cell_Carcinoma,97,11,81,11
MROH2B,Lung_Squamous_Cell_Carcinoma,87,13,71,13
PLCH1,Lung_Squamous_Cell_Carcinoma,65,6,57,6
MYO18B,Lung_Squamous_Cell_Carcinoma,60,8,53,8
TRPA1,Lung_Squamous_Cell_Carcinoma,55,4,47,4
