Gene_ID,Cancer_Type,Gene_Mutation_Count,Gene_Severe_Mutation_Count,Gene_Individuals_with_Mutations_Count,Gene_Individuals_with_Severe_Mutations_Count
CARD11,Skin_Cutaneous_Melanoma,109,11,75,11
XIST,Skin_Cutaneous_Melanoma,216,2,127,2
FBN1,Skin_Cutaneous_Melanoma,83,3,56,3
WDFY3,Skin_Cutaneous_Melanoma,75,5,59,5
SLC1A6,Skin_Cutaneous_Melanoma,54,1,44,1
UGT2B15,Skin_Cutaneous_Melanoma,87,9,63,9
DGKB,Skin_Cutaneous_Melanoma,65,3,53,3
KANK4,Skin_Cutaneous_Melanoma,80,1,57,1
PKDREJ,Skin_Cutaneous_Melanoma,86,3,62,2
DCDC1,Skin_Cutaneous_Melanoma,100,9,78,9
COL6A6,Skin_Cutaneous_Melanoma,129,7,86,7
SCN2A,Skin_Cutaneous_Melanoma,149,5,97,5
ABCA13,Skin_Cutaneous_Melanoma,159,4,99,4
IGSF9B,Skin_Cutaneous_Melanoma,57,3,47,3
GLYATL2,Skin_Cutaneous_Melanoma,56,4,46,4
DSC1,Skin_Cutaneous_Melanoma,142,4,96,4
GABRG1,Skin_Cutaneous_Melanoma,81,6,63,6
ZSWIM2,Skin_Cutaneous_Melanoma,63,2,53,2
MAGI1,Skin_Cutaneous_Melanoma,90,7,66,7
TRIOBP,Skin_Cutaneous_Melanoma,111,8,70,7
NAALAD2,Skin_Cutaneous_Melanoma,53,5,46,5
CDH8,Skin_Cutaneous_Melanoma,133,11,86,10
USP26,Skin_Cutaneous_Melanoma,60,3,48,3
NBEA,Skin_Cutaneous_Melanoma,125,12,82,12
C20orf26,Skin_Cutaneous_Melanoma,75,3,52,3
ABCC6,Skin_Cutaneous_Melanoma,97,11,71,11
LYST,Skin_Cutaneous_Melanoma,55,4,46,4
ZNF536,Skin_Cutaneous_Melanoma,159,4,99,4
MAGEC3,Skin_Cutaneous_Melanoma,88,6,69,6
RP11-707M1.1,Skin_Cutaneous_Melanoma,78,0,62,0
HECW1,Skin_Cutaneous_Melanoma,120,4,88,4
USH1C,Skin_Cutaneous_Melanoma,72,5,53,5
SLC30A8,Skin_Cutaneous_Melanoma,66,3,53,3
DSC2,Skin_Cutaneous_Melanoma,92,2,64,2
SSPO,Skin_Cutaneous_Melanoma,171,14,101,12
HDAC9,Skin_Cutaneous_Melanoma,106,2,75,2
LILRB1,Skin_Cutaneous_Melanoma,124,8,84,8
KDR,Skin_Cutaneous_Melanoma,115,9,82,9
TIE1,Skin_Cutaneous_Melanoma,68,6,55,6
PSG4,Skin_Cutaneous_Melanoma,73,2,55,2
ANO3,Skin_Cutaneous_Melanoma,63,8,46,8
CACNA1B,Skin_Cutaneous_Melanoma,104,4,72,4
ADAM21P1,Skin_Cutaneous_Melanoma,78,0,63,0
TP63,Skin_Cutaneous_Melanoma,150,9,94,9
CYP2C19,Skin_Cutaneous_Melanoma,116,7,82,6
LMX1A,Skin_Cutaneous_Melanoma,61,2,49,2
COL21A1,Skin_Cutaneous_Melanoma,150,8,90,8
TMC2,Skin_Cutaneous_Melanoma,68,7,51,7
FAM171A1,Skin_Cutaneous_Melanoma,79,2,53,2
NPAS4,Skin_Cutaneous_Melanoma,69,1,56,1
GPR116,Skin_Cutaneous_Melanoma,102,4,76,4
TDRD5,Skin_Cutaneous_Melanoma,105,6,78,5
MDN1,Skin_Cutaneous_Melanoma,86,4,61,4
FMN2,Skin_Cutaneous_Melanoma,183,6,105,6
TRPM2,Skin_Cutaneous_Melanoma,117,12,82,10
CACNA1H,Skin_Cutaneous_Melanoma,105,4,74,4
MUC17,Skin_Cutaneous_Melanoma,356,7,157,6
PLEC,Skin_Cutaneous_Melanoma,103,7,71,7
UGT1A6,Skin_Cutaneous_Melanoma,54,1,47,1
GUCY1A2,Skin_Cutaneous_Melanoma,58,2,53,2
SLC22A25,Skin_Cutaneous_Melanoma,65,5,47,4
SLC26A9,Skin_Cutaneous_Melanoma,71,5,51,5
OGDHL,Skin_Cutaneous_Melanoma,88,6,64,6
NETO1,Skin_Cutaneous_Melanoma,78,6,58,6
CD163L1,Skin_Cutaneous_Melanoma,146,12,100,12
CA10,Skin_Cutaneous_Melanoma,56,3,47,3
MORC1,Skin_Cutaneous_Melanoma,154,12,103,11
LRRC18,Skin_Cutaneous_Melanoma,56,1,44,1
OSMR,Skin_Cutaneous_Melanoma,105,14,72,13
MYH11,Skin_Cutaneous_Melanoma,104,9,69,9
GREB1,Skin_Cutaneous_Melanoma,74,4,52,4
SAMD9L,Skin_Cutaneous_Melanoma,123,6,85,6
C1orf168,Skin_Cutaneous_Melanoma,106,6,77,6
NME8,Skin_Cutaneous_Melanoma,64,5,52,5
GRID1,Skin_Cutaneous_Melanoma,81,3,54,3
HHIPL2,Skin_Cutaneous_Melanoma,63,2,47,2
TACC2,Skin_Cutaneous_Melanoma,192,5,101,5
OR2G6,Skin_Cutaneous_Melanoma,54,4,44,4
CYFIP2,Skin_Cutaneous_Melanoma,75,6,53,5
ACACA,Skin_Cutaneous_Melanoma,54,4,44,4
TRPM6,Skin_Cutaneous_Melanoma,128,8,76,8
GRM6,Skin_Cutaneous_Melanoma,79,3,58,3
SYT16,Skin_Cutaneous_Melanoma,63,5,48,5
ARHGAP30,Skin_Cutaneous_Melanoma,68,3,48,3
UMODL1,Skin_Cutaneous_Melanoma,62,5,48,5
SALL1,Skin_Cutaneous_Melanoma,179,5,101,5
TMEM200A,Skin_Cutaneous_Melanoma,90,3,71,3
PDE3A,Skin_Cutaneous_Melanoma,59,4,44,4
ELMO1,Skin_Cutaneous_Melanoma,62,7,48,6
GPR158,Skin_Cutaneous_Melanoma,107,4,77,4
KL,Skin_Cutaneous_Melanoma,79,7,62,7
OR4N2,Skin_Cutaneous_Melanoma,64,1,55,1
ZNF831,Skin_Cutaneous_Melanoma,209,6,124,6
DSG1,Skin_Cutaneous_Melanoma,120,10,81,10
NOS1,Skin_Cutaneous_Melanoma,201,15,117,14
CNTNAP4,Skin_Cutaneous_Melanoma,110,9,72,9
SIGLEC12,Skin_Cutaneous_Melanoma,72,5,53,5
NLRP8,Skin_Cutaneous_Melanoma,158,8,106,8
PTPRN2,Skin_Cutaneous_Melanoma,115,8,77,8
AKAP6,Skin_Cutaneous_Melanoma,84,1,62,1
GRIA1,Skin_Cutaneous_Melanoma,142,8,88,8
NPC1L1,Skin_Cutaneous_Melanoma,95,4,73,4
ADCY10,Skin_Cutaneous_Melanoma,89,6,68,6
CAMTA1,Skin_Cutaneous_Melanoma,70,1,52,1
PCDHGA5,Skin_Cutaneous_Melanoma,54,0,46,0
OR1L8,Skin_Cutaneous_Melanoma,52,0,44,0
TENM2,Skin_Cutaneous_Melanoma,150,4,90,4
DLG2,Skin_Cutaneous_Melanoma,78,3,57,3
ATP2B2,Skin_Cutaneous_Melanoma,88,5,59,5
EPHA7,Skin_Cutaneous_Melanoma,124,11,76,11
LEPREL1,Skin_Cutaneous_Melanoma,66,3,48,3
TRIML2,Skin_Cutaneous_Melanoma,66,1,54,1
NRG1,Skin_Cutaneous_Melanoma,73,4,50,4
