Gene_ID,Cancer_Type,Gene_Mutation_Count,Gene_Severe_Mutation_Count,Gene_Individuals_with_Mutations_Count,Gene_Individuals_with_Severe_Mutations_Count
PCDHB8,Stomach_Adenocarcinoma,73,0,59,0
SPEG,Stomach_Adenocarcinoma,64,9,48,9
GLI3,Stomach_Adenocarcinoma,98,9,70,9
NRXN3,Stomach_Adenocarcinoma,57,5,48,5
NCOR2,Stomach_Adenocarcinoma,55,9,44,9
XIST,Stomach_Adenocarcinoma,78,0,51,0
FBN1,Stomach_Adenocarcinoma,68,3,52,3
VPS13B,Stomach_Adenocarcinoma,81,16,57,16
LAMA5,Stomach_Adenocarcinoma,55,8,44,8
DNAH17,Stomach_Adenocarcinoma,74,3,57,3
GRM1,Stomach_Adenocarcinoma,69,5,55,5
ERBB4,Stomach_Adenocarcinoma,73,9,59,8
WDFY3,Stomach_Adenocarcinoma,69,16,49,14
DNAH8,Stomach_Adenocarcinoma,97,14,70,12
TTN,Stomach_Adenocarcinoma,842,85,262,67
SI,Stomach_Adenocarcinoma,53,11,44,11
DNAH1,Stomach_Adenocarcinoma,65,8,52,7
LRP1B,Stomach_Adenocarcinoma,213,32,132,30
DNAH7,Stomach_Adenocarcinoma,71,10,59,9
CACNA1C,Stomach_Adenocarcinoma,63,9,52,9
PCDH10,Stomach_Adenocarcinoma,93,4,67,4
FLNA,Stomach_Adenocarcinoma,55,8,45,8
CTNND2,Stomach_Adenocarcinoma,50,7,45,6
HIVEP3,Stomach_Adenocarcinoma,56,12,44,12
MUC5B,Stomach_Adenocarcinoma,109,12,69,10
ASPM,Stomach_Adenocarcinoma,59,14,46,14
FLG2,Stomach_Adenocarcinoma,53,2,46,2
DOCK3,Stomach_Adenocarcinoma,74,40,55,36
ERBB3,Stomach_Adenocarcinoma,61,2,47,2
NIPBL,Stomach_Adenocarcinoma,65,17,54,16
FLG,Stomach_Adenocarcinoma,176,10,114,10
DCDC1,Stomach_Adenocarcinoma,47,7,44,7
RYR2,Stomach_Adenocarcinoma,129,8,89,8
CACNA1E,Stomach_Adenocarcinoma,67,10,55,10
TMEM132D,Stomach_Adenocarcinoma,52,8,44,8
HERC2,Stomach_Adenocarcinoma,114,16,58,13
ROBO2,Stomach_Adenocarcinoma,55,10,47,9
APC,Stomach_Adenocarcinoma,71,35,57,28
ANKRD11,Stomach_Adenocarcinoma,63,11,46,10
TP53,Stomach_Adenocarcinoma,228,86,215,85
DCLK1,Stomach_Adenocarcinoma,56,7,49,6
MXRA5,Stomach_Adenocarcinoma,57,5,46,5
AHNAK,Stomach_Adenocarcinoma,70,6,56,6
ZNF831,Stomach_Adenocarcinoma,57,6,48,6
NALCN,Stomach_Adenocarcinoma,87,11,66,9
ABCA13,Stomach_Adenocarcinoma,96,15,62,13
LAMA2,Stomach_Adenocarcinoma,60,13,45,13
KMT2D,Stomach_Adenocarcinoma,124,50,76,41
CNTNAP5,Stomach_Adenocarcinoma,60,5,55,5
UNC79,Stomach_Adenocarcinoma,61,11,51,10
PXDN,Stomach_Adenocarcinoma,81,11,67,11
ADAMTS16,Stomach_Adenocarcinoma,51,7,48,7
PDZD2,Stomach_Adenocarcinoma,61,6,46,6
MACF1,Stomach_Adenocarcinoma,98,17,58,15
PTPRS,Stomach_Adenocarcinoma,54,7,44,7
HERC1,Stomach_Adenocarcinoma,63,12,44,12
KMT2C,Stomach_Adenocarcinoma,116,41,74,34
ARID1A,Stomach_Adenocarcinoma,146,113,110,97
USH2A,Stomach_Adenocarcinoma,102,10,73,8
UBR4,Stomach_Adenocarcinoma,75,14,55,13
COL22A1,Stomach_Adenocarcinoma,56,10,46,10
CDH10,Stomach_Adenocarcinoma,60,13,48,13
SRCAP,Stomach_Adenocarcinoma,56,8,45,8
DNAH5,Stomach_Adenocarcinoma,134,21,93,20
CDH8,Stomach_Adenocarcinoma,61,10,52,10
LAMA1,Stomach_Adenocarcinoma,107,10,75,9
DMD,Stomach_Adenocarcinoma,102,13,75,12
COL12A1,Stomach_Adenocarcinoma,97,16,73,15
RIMS2,Stomach_Adenocarcinoma,114,13,89,12
UTRN,Stomach_Adenocarcinoma,64,5,45,4
PCDHA11,Stomach_Adenocarcinoma,56,1,46,1
ABCA12,Stomach_Adenocarcinoma,86,23,65,22
DNAH10,Stomach_Adenocarcinoma,78,12,57,11
CHD6,Stomach_Adenocarcinoma,56,5,46,5
ANK3,Stomach_Adenocarcinoma,94,18,67,18
COL11A1,Stomach_Adenocarcinoma,69,11,59,10
NAV3,Stomach_Adenocarcinoma,75,10,62,10
BSN,Stomach_Adenocarcinoma,64,10,51,10
PLXNA1,Stomach_Adenocarcinoma,67,6,46,6
MAGEC1,Stomach_Adenocarcinoma,49,4,44,4
PIK3CA,Stomach_Adenocarcinoma,90,0,72,0
NBEA,Stomach_Adenocarcinoma,76,18,61,17
MYCBP2,Stomach_Adenocarcinoma,80,20,53,16
CELSR3,Stomach_Adenocarcinoma,71,12,50,12
COL6A3,Stomach_Adenocarcinoma,80,9,63,9
APOB,Stomach_Adenocarcinoma,92,8,66,7
SLITRK5,Stomach_Adenocarcinoma,73,7,61,7
PTPRT,Stomach_Adenocarcinoma,83,14,67,12
COL7A1,Stomach_Adenocarcinoma,67,17,50,17
FAT3,Stomach_Adenocarcinoma,131,10,95,9
PDE4DIP,Stomach_Adenocarcinoma,70,5,51,5
DLC1,Stomach_Adenocarcinoma,58,7,49,7
ANK1,Stomach_Adenocarcinoma,66,4,48,4
UNC13C,Stomach_Adenocarcinoma,65,13,48,13
LYST,Stomach_Adenocarcinoma,59,14,46,13
COL5A1,Stomach_Adenocarcinoma,57,11,46,11
ZNF536,Stomach_Adenocarcinoma,82,3,64,3
LRP2,Stomach_Adenocarcinoma,84,12,63,11
FCGBP,Stomach_Adenocarcinoma,86,6,56,6
ITPR3,Stomach_Adenocarcinoma,64,5,49,5
HECW1,Stomach_Adenocarcinoma,54,10,49,10
VPS13D,Stomach_Adenocarcinoma,64,10,53,9
ZNF521,Stomach_Adenocarcinoma,51,5,48,5
KMT2B,Stomach_Adenocarcinoma,74,39,47,31
FAT2,Stomach_Adenocarcinoma,101,11,74,11
MUC16,Stomach_Adenocarcinoma,323,33,175,25
HRNR,Stomach_Adenocarcinoma,66,3,52,3
NPAP1,Stomach_Adenocarcinoma,54,2,48,2
ANK2,Stomach_Adenocarcinoma,71,11,56,11
TCHH,Stomach_Adenocarcinoma,60,4,52,4
NRXN1,Stomach_Adenocarcinoma,84,6,70,6
GTF3C1,Stomach_Adenocarcinoma,60,16,46,15
GPR98,Stomach_Adenocarcinoma,87,16,68,16
CREBBP,Stomach_Adenocarcinoma,67,16,49,15
PAPPA2,Stomach_Adenocarcinoma,58,6,50,6
PLXNA4,Stomach_Adenocarcinoma,67,3,56,3
FAM135B,Stomach_Adenocarcinoma,57,5,50,5
CDH1,Stomach_Adenocarcinoma,49,10,47,10
PTPRD,Stomach_Adenocarcinoma,58,6,49,6
RNF213,Stomach_Adenocarcinoma,89,11,64,11
OBSCN,Stomach_Adenocarcinoma,199,16,109,15
DOCK2,Stomach_Adenocarcinoma,63,4,51,4
DYNC1H1,Stomach_Adenocarcinoma,64,12,44,11
PCDH15,Stomach_Adenocarcinoma,103,14,87,14
SYNE2,Stomach_Adenocarcinoma,109,31,71,25
HMCN1,Stomach_Adenocarcinoma,165,31,102,31
REV3L,Stomach_Adenocarcinoma,68,18,55,18
SSPO,Stomach_Adenocarcinoma,75,3,52,3
CSMD2,Stomach_Adenocarcinoma,84,10,65,10
ZBTB20,Stomach_Adenocarcinoma,72,33,54,32
SPEN,Stomach_Adenocarcinoma,83,15,56,14
TRRAP,Stomach_Adenocarcinoma,83,7,62,7
CUBN,Stomach_Adenocarcinoma,93,19,77,18
ATP10A,Stomach_Adenocarcinoma,68,7,55,7
PCDHA12,Stomach_Adenocarcinoma,54,4,47,4
CSMD3,Stomach_Adenocarcinoma,197,15,134,13
ZFHX3,Stomach_Adenocarcinoma,94,19,51,17
HSPG2,Stomach_Adenocarcinoma,67,11,49,11
DYSF,Stomach_Adenocarcinoma,62,10,46,9
EPHA5,Stomach_Adenocarcinoma,52,10,45,10
FBN3,Stomach_Adenocarcinoma,53,8,44,8
LRP1,Stomach_Adenocarcinoma,83,9,51,7
SLITRK1,Stomach_Adenocarcinoma,67,8,49,8
