Gene_ID,Cancer_Type,Gene_Mutation_Count,Gene_Severe_Mutation_Count,Gene_Individuals_with_Mutations_Count,Gene_Individuals_with_Severe_Mutations_Count
ARID1A,Uterine_Carcinosarcoma,10,7,7,5
USH2A,Uterine_Carcinosarcoma,6,0,6,0
VPS13B,Uterine_Carcinosarcoma,9,2,6,2
SYNE1,Uterine_Carcinosarcoma,10,1,6,1
TTN,Uterine_Carcinosarcoma,46,9,12,4
FBXW7,Uterine_Carcinosarcoma,23,2,22,2
PIK3R1,Uterine_Carcinosarcoma,8,7,6,6
FLNA,Uterine_Carcinosarcoma,9,0,8,0
PIK3CA,Uterine_Carcinosarcoma,22,0,20,0
DSP,Uterine_Carcinosarcoma,6,2,6,2
FLG,Uterine_Carcinosarcoma,6,0,6,0
CHD4,Uterine_Carcinosarcoma,12,3,10,3
PPP2R1A,Uterine_Carcinosarcoma,17,0,16,0
DNAH2,Uterine_Carcinosarcoma,10,1,6,1
TP53,Uterine_Carcinosarcoma,57,14,52,13
AHNAK,Uterine_Carcinosarcoma,9,0,7,0
MUC16,Uterine_Carcinosarcoma,11,1,6,1
KRAS,Uterine_Carcinosarcoma,7,0,7,0
ARHGAP35,Uterine_Carcinosarcoma,6,5,6,5
ZBTB7B,Uterine_Carcinosarcoma,7,3,6,3
MGAM,Uterine_Carcinosarcoma,8,1,7,1
KMT2D,Uterine_Carcinosarcoma,7,1,6,1
PTEN,Uterine_Carcinosarcoma,17,7,11,6
