Gene_ID,Cancer_Type,Gene_Mutation_Count,Gene_Severe_Mutation_Count,Gene_Individuals_with_Mutations_Count,Gene_Individuals_with_Severe_Mutations_Count
CARD11,Uterine_Corpus_Endometrial_Carcinoma,106,12,61,12
USP28,Uterine_Corpus_Endometrial_Carcinoma,80,15,54,13
TSC1,Uterine_Corpus_Endometrial_Carcinoma,90,13,51,11
ZXDA,Uterine_Corpus_Endometrial_Carcinoma,83,0,51,0
XIST,Uterine_Corpus_Endometrial_Carcinoma,302,0,73,0
FBN1,Uterine_Corpus_Endometrial_Carcinoma,200,32,74,27
KDM3B,Uterine_Corpus_Endometrial_Carcinoma,98,20,59,19
WDFY3,Uterine_Corpus_Endometrial_Carcinoma,190,23,82,18
PLEKHA6,Uterine_Corpus_Endometrial_Carcinoma,98,11,65,11
ARID4B,Uterine_Corpus_Endometrial_Carcinoma,127,32,78,29
GSE1,Uterine_Corpus_Endometrial_Carcinoma,80,11,47,10
DGKB,Uterine_Corpus_Endometrial_Carcinoma,116,12,50,9
KANK4,Uterine_Corpus_Endometrial_Carcinoma,75,8,45,8
PAPOLB,Uterine_Corpus_Endometrial_Carcinoma,88,5,45,5
SLC4A11,Uterine_Corpus_Endometrial_Carcinoma,74,10,53,8
PKDREJ,Uterine_Corpus_Endometrial_Carcinoma,126,11,51,10
RAPGEF2,Uterine_Corpus_Endometrial_Carcinoma,93,14,53,13
THADA,Uterine_Corpus_Endometrial_Carcinoma,88,6,48,6
DCDC1,Uterine_Corpus_Endometrial_Carcinoma,118,14,58,12
MPDZ,Uterine_Corpus_Endometrial_Carcinoma,113,14,57,12
USP48,Uterine_Corpus_Endometrial_Carcinoma,64,9,44,9
SH3PXD2A,Uterine_Corpus_Endometrial_Carcinoma,104,4,55,4
COL6A6,Uterine_Corpus_Endometrial_Carcinoma,124,14,59,13
SCN2A,Uterine_Corpus_Endometrial_Carcinoma,193,13,75,12
TMEM2,Uterine_Corpus_Endometrial_Carcinoma,94,11,51,11
ABCA13,Uterine_Corpus_Endometrial_Carcinoma,329,37,84,25
SAGE1,Uterine_Corpus_Endometrial_Carcinoma,96,19,59,18
IGSF9B,Uterine_Corpus_Endometrial_Carcinoma,121,16,64,16
KIAA0947,Uterine_Corpus_Endometrial_Carcinoma,128,19,59,18
HTR2C,Uterine_Corpus_Endometrial_Carcinoma,130,5,57,5
MAGI1,Uterine_Corpus_Endometrial_Carcinoma,109,8,63,8
PACS1,Uterine_Corpus_Endometrial_Carcinoma,68,4,48,4
KCTD8,Uterine_Corpus_Endometrial_Carcinoma,65,6,48,6
TRIOBP,Uterine_Corpus_Endometrial_Carcinoma,113,13,58,11
GPR126,Uterine_Corpus_Endometrial_Carcinoma,102,7,49,5
TBC1D4,Uterine_Corpus_Endometrial_Carcinoma,96,13,50,11
SLC12A2,Uterine_Corpus_Endometrial_Carcinoma,75,10,48,8
CDH8,Uterine_Corpus_Endometrial_Carcinoma,113,10,58,9
POLR2A,Uterine_Corpus_Endometrial_Carcinoma,94,13,54,13
KDM2B,Uterine_Corpus_Endometrial_Carcinoma,85,6,47,6
PLXNA1,Uterine_Corpus_Endometrial_Carcinoma,182,8,80,8
GUCY2F,Uterine_Corpus_Endometrial_Carcinoma,105,8,52,8
USP26,Uterine_Corpus_Endometrial_Carcinoma,99,27,55,23
LRRD1,Uterine_Corpus_Endometrial_Carcinoma,71,8,45,8
DCAF5,Uterine_Corpus_Endometrial_Carcinoma,57,3,44,3
KANK1,Uterine_Corpus_Endometrial_Carcinoma,80,7,46,6
SYTL4,Uterine_Corpus_Endometrial_Carcinoma,76,8,44,8
NBEA,Uterine_Corpus_Endometrial_Carcinoma,277,46,90,32
RPL22,Uterine_Corpus_Endometrial_Carcinoma,58,45,54,44
ZIC3,Uterine_Corpus_Endometrial_Carcinoma,100,1,52,1
TBL1X,Uterine_Corpus_Endometrial_Carcinoma,101,6,55,6
C20orf26,Uterine_Corpus_Endometrial_Carcinoma,96,14,51,12
PPL,Uterine_Corpus_Endometrial_Carcinoma,102,11,57,10
ABCC6,Uterine_Corpus_Endometrial_Carcinoma,93,13,58,11
JMJD1C,Uterine_Corpus_Endometrial_Carcinoma,133,13,65,12
LYST,Uterine_Corpus_Endometrial_Carcinoma,240,32,73,24
LENG8,Uterine_Corpus_Endometrial_Carcinoma,71,1,45,1
ZNF536,Uterine_Corpus_Endometrial_Carcinoma,150,7,74,7
MAGEC3,Uterine_Corpus_Endometrial_Carcinoma,114,4,63,4
PAX3,Uterine_Corpus_Endometrial_Carcinoma,85,1,53,1
RP11-707M1.1,Uterine_Corpus_Endometrial_Carcinoma,78,2,52,2
HECW1,Uterine_Corpus_Endometrial_Carcinoma,129,9,74,9
SETX,Uterine_Corpus_Endometrial_Carcinoma,169,15,65,14
PCDHGA8,Uterine_Corpus_Endometrial_Carcinoma,98,2,53,2
RBM12B,Uterine_Corpus_Endometrial_Carcinoma,75,6,47,6
GAS7,Uterine_Corpus_Endometrial_Carcinoma,78,2,48,2
ABCC5,Uterine_Corpus_Endometrial_Carcinoma,100,3,45,2
KIAA0232,Uterine_Corpus_Endometrial_Carcinoma,94,9,52,7
ARHGAP21,Uterine_Corpus_Endometrial_Carcinoma,127,14,63,13
UBR1,Uterine_Corpus_Endometrial_Carcinoma,86,11,51,10
NID1,Uterine_Corpus_Endometrial_Carcinoma,95,5,54,5
SSPO,Uterine_Corpus_Endometrial_Carcinoma,288,8,97,8
