Gene_ID,Cancer_Type,Gene_Mutation_Count,Gene_Severe_Mutation_Count,Gene_Individuals_with_Mutations_Count,Gene_Individuals_with_Severe_Mutations_Count,Total_Individuals,Total_Mutations,Total_Severe_Mutations,Gene_Individuals_with_Mutations_Prop,Gene_Individuals_with_Severe_Mutations_Prop
PCDHB8,Lung_Adenocarcinoma,108,3,87,2,508,195863,20684,0.17125984251968504,0.003937007874015748
MYH1,Lung_Adenocarcinoma,84,18,73,17,508,195863,20684,0.1437007874015748,0.03346456692913386
SPEG,Lung_Adenocarcinoma,60,10,51,10,508,195863,20684,0.10039370078740158,0.01968503937007874
NRXN3,Lung_Adenocarcinoma,59,1,51,1,508,195863,20684,0.10039370078740158,0.001968503937007874
THSD7A,Lung_Adenocarcinoma,70,10,61,10,508,195863,20684,0.12007874015748031,0.01968503937007874
NLRP3,Lung_Adenocarcinoma,101,12,77,12,508,195863,20684,0.1515748031496063,0.023622047244094488
XIST,Lung_Adenocarcinoma,103,0,84,0,508,195863,20684,0.16535433070866143,0
MYO7B,Lung_Adenocarcinoma,66,4,56,4,508,195863,20684,0.11023622047244094,0.007874015748031496
TAF1L,Lung_Adenocarcinoma,80,9,65,9,508,195863,20684,0.1279527559055118,0.017716535433070866
VPS13B,Lung_Adenocarcinoma,59,9,53,9,508,195863,20684,0.10433070866141732,0.017716535433070866
SLC39A12,Lung_Adenocarcinoma,66,7,52,7,508,195863,20684,0.10236220472440945,0.013779527559055118
POTEH,Lung_Adenocarcinoma,60,6,52,6,508,195863,20684,0.10236220472440945,0.011811023622047244
POM121L12,Lung_Adenocarcinoma,71,2,64,2,508,195863,20684,0.12598425196850394,0.003937007874015748
MYH4,Lung_Adenocarcinoma,68,10,59,9,508,195863,20684,0.11614173228346457,0.017716535433070866
SLITRK2,Lung_Adenocarcinoma,81,3,68,3,508,195863,20684,0.13385826771653545,0.005905511811023622
ERBB4,Lung_Adenocarcinoma,60,10,51,10,508,195863,20684,0.10039370078740158,0.01968503937007874
WDFY3,Lung_Adenocarcinoma,56,10,53,10,508,195863,20684,0.10433070866141732,0.01968503937007874
DNAH8,Lung_Adenocarcinoma,94,12,78,11,508,195863,20684,0.15354330708661418,0.021653543307086614
RGPD4,Lung_Adenocarcinoma,70,6,62,6,508,195863,20684,0.1220472440944882,0.011811023622047244
GRID2,Lung_Adenocarcinoma,65,8,54,7,508,195863,20684,0.1062992125984252,0.013779527559055118
TTN,Lung_Adenocarcinoma,839,59,284,53,508,195863,20684,0.5590551181102362,0.10433070866141732
SLITRK3,Lung_Adenocarcinoma,64,6,55,6,508,195863,20684,0.10826771653543307,0.011811023622047244
SEMA5A,Lung_Adenocarcinoma,69,10,54,10,508,195863,20684,0.1062992125984252,0.01968503937007874
SI,Lung_Adenocarcinoma,120,11,93,11,508,195863,20684,0.1830708661417323,0.021653543307086614
ACAN,Lung_Adenocarcinoma,60,3,54,3,508,195863,20684,0.1062992125984252,0.005905511811023622
LRP1B,Lung_Adenocarcinoma,346,44,194,41,508,195863,20684,0.38188976377952755,0.08070866141732283
DNAH7,Lung_Adenocarcinoma,75,8,68,8,508,195863,20684,0.13385826771653545,0.015748031496062992
CACNA1C,Lung_Adenocarcinoma,72,5,65,5,508,195863,20684,0.1279527559055118,0.00984251968503937
PCDH10,Lung_Adenocarcinoma,98,5,78,5,508,195863,20684,0.15354330708661418,0.00984251968503937
SALL1,Lung_Adenocarcinoma,77,3,58,3,508,195863,20684,0.1141732283464567,0.005905511811023622
LPPR4,Lung_Adenocarcinoma,70,7,60,7,508,195863,20684,0.11811023622047244,0.013779527559055118
ITGAX,Lung_Adenocarcinoma,61,7,51,7,508,195863,20684,0.10039370078740158,0.013779527559055118
CTNND2,Lung_Adenocarcinoma,91,8,72,8,508,195863,20684,0.14173228346456693,0.015748031496062992
MUC5B,Lung_Adenocarcinoma,109,8,76,8,508,195863,20684,0.14960629921259844,0.015748031496062992
ASPM,Lung_Adenocarcinoma,90,5,80,5,508,195863,20684,0.15748031496062992,0.00984251968503937
FLG2,Lung_Adenocarcinoma,95,8,80,8,508,195863,20684,0.15748031496062992,0.015748031496062992
LRRIQ1,Lung_Adenocarcinoma,65,9,57,9,508,195863,20684,0.11220472440944881,0.017716535433070866
PTPRZ1,Lung_Adenocarcinoma,78,6,62,6,508,195863,20684,0.1220472440944882,0.011811023622047244
EPHA6,Lung_Adenocarcinoma,65,6,57,6,508,195863,20684,0.11220472440944881,0.011811023622047244
NLGN4X,Lung_Adenocarcinoma,72,6,62,6,508,195863,20684,0.1220472440944882,0.011811023622047244
FLG,Lung_Adenocarcinoma,242,18,145,17,508,195863,20684,0.2854330708661417,0.03346456692913386
LPHN2,Lung_Adenocarcinoma,63,5,53,5,508,195863,20684,0.10433070866141732,0.00984251968503937
DCDC1,Lung_Adenocarcinoma,77,11,63,11,508,195863,20684,0.12401574803149606,0.021653543307086614
ZAN,Lung_Adenocarcinoma,84,8,66,8,508,195863,20684,0.12992125984251968,0.015748031496062992
RYR2,Lung_Adenocarcinoma,441,48,222,41,508,195863,20684,0.43700787401574803,0.08070866141732283
CACNA1E,Lung_Adenocarcinoma,139,15,101,14,508,195863,20684,0.19881889763779528,0.027559055118110236
SPHKAP,Lung_Adenocarcinoma,72,4,59,4,508,195863,20684,0.11614173228346457,0.007874015748031496
CDH7,Lung_Adenocarcinoma,65,9,59,9,508,195863,20684,0.11614173228346457,0.017716535433070866
HERC2,Lung_Adenocarcinoma,91,10,76,10,508,195863,20684,0.14960629921259844,0.01968503937007874
ROBO2,Lung_Adenocarcinoma,66,6,58,6,508,195863,20684,0.1141732283464567,0.011811023622047244
LTBP1,Lung_Adenocarcinoma,66,9,56,9,508,195863,20684,0.11023622047244094,0.017716535433070866
CUX2,Lung_Adenocarcinoma,57,2,51,2,508,195863,20684,0.10039370078740158,0.003937007874015748
GPR158,Lung_Adenocarcinoma,77,9,66,9,508,195863,20684,0.12992125984251968,0.017716535433070866
BRINP3,Lung_Adenocarcinoma,103,12,83,12,508,195863,20684,0.16338582677165353,0.023622047244094488
NLRP5,Lung_Adenocarcinoma,65,4,56,4,508,195863,20684,0.11023622047244094,0.007874015748031496
TP53,Lung_Adenocarcinoma,280,107,264,106,508,195863,20684,0.5196850393700787,0.20866141732283464
MXRA5,Lung_Adenocarcinoma,123,7,96,7,508,195863,20684,0.1889763779527559,0.013779527559055118
